study	mouse_genes	human_entrez	log2fc	adj_p	direction	tier	score	lipid_terms	diseases	traits	sources_n	sources	ambiguity	rank
OSD-25	Adra1a	148	1.0338	7.44607e-06	up	C	3.10338		adenocarcinoma of liver and intrahepatic biliary tract; anxiety disorder; bipolar disorder; breast cancer; breast neoplasm; cirrhosis of liver; endogenous depression; fibrolamellar hepatocellular carcinoma; hepatocellular carcinoma; hereditary breast carcinoma; hereditary breast ovarian cancer syndrome; liver cancer; major affective disorder; major depressive disorder; morphine dependence; pediatric hepatocellular carcinoma; schizophrenia; squamous cell carcinoma of liver and intrahepatic biliary tract; squamous cell carcinoma of the corpus uteri; substance abuse/dependence; undifferentiated carcinoma of liver and intrahepatic biliary tract; undifferentiated carcinoma of the corpus uteri; unipolar depression		3	['spoke-genelab', 'prokn', 'rdkg']	one-to-one	64
OSD-25	Crybg1	202	1.0267	0.000901782	up	C	3.10267		melanoma		3	['spoke-genelab', 'prokn', 'rdkg']	one-to-one	65
OSD-25	Manea	79694	1.0237	0.00011982	up	C	3.10237		breast cancer; breast neoplasm; delusional disorder; hereditary breast carcinoma; hereditary breast ovarian cancer syndrome; morphine dependence; paranoid schizophrenia; polycystic ovary syndrome; squamous cell carcinoma of the corpus uteri; substance abuse/dependence; undifferentiated carcinoma of the corpus uteri		3	['spoke-genelab', 'prokn', 'rdkg']	one-to-one	66
OSD-25	Cirbp	1153	1.0212	0.000319783	up	C	3.10212		autism (disease); autism spectrum disorder; autism susceptibility 1; coronary artery disease; myocardial ischemia		3	['spoke-genelab', 'prokn', 'rdkg']	one-to-one	67
OSD-137	Speg	10290	1.012	0.0321181	up	C	3.1012		centronuclear myopathy; congenital myopathy; gastric adenocarcinoma; myopathy, centronuclear; ovarian mucinous adenocarcinoma		3	['spoke-genelab', 'prokn', 'rdkg']	one-to-one	68
OSD-25	Acot1|Acot2|Acot5	641371	2.1145	4.13738e-05	up	C	2.21145		hepatocellular carcinoma; liver cancer		2	['spoke-genelab', 'rdkg']	ambiguous	69
OSD-25	Gpat3	84803	2.0694	2.38654e-07	up	C	2.20694			HDL cholesterol	2	['spoke-genelab', 'digcfdekg']	one-to-one	70
OSD-25	Tor3a	64222	1.8409	6.76353e-06	up	C	2.18409				2	['spoke-genelab', 'prokn']	one-to-one	71
OSD-25	Depp1	11067	-1.7252	0.000281436	down	C	2.17252		Fabry disease; Wolman disease; breast cancer; breast carcinoma; breast neoplasm; chylomicron retention disease; endometriosis (disease); endometriosis of uterus; hereditary breast carcinoma; hereditary breast ovarian cancer syndrome; lysosomal lipid storage disorder; ovarian endometriosis; squamous cell carcinoma of the corpus uteri; undifferentiated carcinoma of the corpus uteri		2	['spoke-genelab', 'rdkg']	one-to-one	72
OSD-25	Gpcpd1	56261	1.5945	0.000329533	up	C	2.15945			HDL cholesterol; LDL cholesterol	2	['spoke-genelab', 'digcfdekg']	one-to-one	73
OSD-25	Tmem87b	84910	1.5421	1.79266e-05	up	C	2.15421				2	['spoke-genelab', 'prokn']	one-to-one	74
OSD-25	Slc5a3	6526	-1.3637	3.65326e-06	down	C	2.13637		bipolar disorder; chromophobe renal cell carcinoma; clear cell renal carcinoma; collecting duct carcinoma; major affective disorder; manic bipolar affective disorder; nonpapillary renal cell carcinoma; papillary adenocarcinoma; papillary renal cell carcinoma; renal carcinoma; renal cell adenocarcinoma; renal cell carcinoma; sarcomatoid renal cell carcinoma; thyroid gland carcinoma		2	['spoke-genelab', 'rdkg']	one-to-one	75
OSD-25	Hspa4l	22824	-1.3619	1.03034e-07	down	C	2.13619				2	['spoke-genelab', 'prokn']	one-to-one	76
OSD-25	P4ha1	5033	-1.3599	5.61684e-05	down	C	2.13599				2	['spoke-genelab', 'prokn']	one-to-one	77
OSD-25	Flvcr2	55640	1.3038	0.000738608	up	C	2.13038		Fowler syndrome; Fowler vasculopathy		2	['spoke-genelab', 'rdkg']	one-to-one	78
OSD-25	Serpina7	6906	1.2807	0.0458775	up	C	2.12807				2	['spoke-genelab', 'prokn']	one-to-one	79
OSD-25	Asic5	51802	1.2532	0.00233274	up	C	2.12532				2	['spoke-genelab', 'prokn']	one-to-one	80
OSD-25	Syt1	6857	1.2356	0.00203409	up	C	2.12356		infantile hypotonia-oculomotor anomalies-hyperkinetic movements-developmental delay syndrome		2	['spoke-genelab', 'rdkg']	one-to-one	81
OSD-25	Slc25a30	253512	1.1958	0.0103298	up	C	2.11958				2	['spoke-genelab', 'prokn']	one-to-one	82
OSD-25	1810055G02Rik	53838	1.1887	0.00080156	up	C	2.11887				2	['spoke-genelab', 'prokn']	one-to-one	83
OSD-25	Mrap	56246	1.1798	0.000118163	up	C	2.11798		X-linked adrenal hypoplasia congenita; familial glucocorticoid deficiency; glucocorticoid deficiency		2	['spoke-genelab', 'rdkg']	one-to-one	84
OSD-25	Gpr39	2863	1.1795	2.38579e-05	up	C	2.11795				2	['spoke-genelab', 'prokn']	one-to-one	85
OSD-25	Ypel2	388403	-1.1702	0.000495032	down	C	2.11702				2	['spoke-genelab', 'prokn']	one-to-one	86
OSD-25	Tmed5	50999	1.1617	2.38191e-05	up	C	2.11617				2	['spoke-genelab', 'prokn']	one-to-one	87
OSD-25	Igsf11	152404	1.156	3.02766e-06	up	C	2.1156				2	['spoke-genelab', 'prokn']	one-to-one	88
OSD-25	Tox	9760	1.1542	6.69068e-07	up	C	2.11542				2	['spoke-genelab', 'prokn']	one-to-one	89
OSD-25	2010003K11Rik	254439	1.1542	8.92989e-05	up	C	2.11542			HDL cholesterol	2	['spoke-genelab', 'digcfdekg']	one-to-one	90
OSD-25	G0s2	50486	1.136	0.00153049	up	C	2.1136		carcinoma; mammary neoplasms, animal; sarcomatoid carcinoma; undifferentiated carcinoma		2	['spoke-genelab', 'rdkg']	one-to-one	91
OSD-25	Gm4952	10249	1.1296	0.00156571	up	C	2.11296		bipolar disorder; major affective disorder		2	['spoke-genelab', 'rdkg']	one-to-one	92
OSD-25	Slc22a30	387775	-1.1145	3.17098e-05	down	C	2.11145		adenocarcinoma of liver and intrahepatic biliary tract; borderline epithelial tumor of ovary; familial ovarian cancer; fibrolamellar hepatocellular carcinoma; giant cell glioblastoma; glioblastoma; glioma susceptibility; hepatocellular carcinoma; hereditary breast ovarian cancer syndrome; hereditary site-specific ovarian cancer syndrome; immature ovarian teratoma; liver cancer; lung cancer; maligant granulosa cell tumor of ovary; malignant Sertoli-Leydig cell tumor of ovary; malignant dysgerminomatous germ cell tumor of ovary; malignant germ cell tumor of ovary; malignant non-dysgerminomatous germ cell tumor of ovary; malignant sex cord stromal tumor of ovary; non-small cell lung carcinoma (disease); ovarian adenocarcinoma; ovarian cancer; ovarian carcinosarcoma; ovarian clear cell adenocarcinoma; ovarian endometrioid adenocarcinoma; ovarian mucinous adenocarcinoma; ovarian neoplasm; ovarian small cell carcinoma; pediatric hepatocellular carcinoma; primary non-gestational choriocarcinoma of ovary; squamous cell carcinoma of liver and intrahepatic biliary tract; theca steroid-producing cell malignant tumor of ovary, not further specified; undifferentiated carcinoma of liver and intrahepatic biliary tract; yolk sac tumor		2	['spoke-genelab', 'rdkg']	ambiguous	93
OSD-25	Gask1a	729085	-1.0779	0.00607222	down	C	2.10779				2	['spoke-genelab', 'prokn']	one-to-one	94
OSD-25	Cerkl	375298	1.0727	0.000476236	up	C	2.10727		retinitis pigmentosa		2	['spoke-genelab', 'rdkg']	one-to-one	95
OSD-25	Retsat	54884	1.0714	0.000275172	up	C	2.10714		Simpson-Golabi-Behmel syndrome		2	['spoke-genelab', 'rdkg']	one-to-one	96
OSD-25	Plin5	440503	1.0605	1.69994e-05	up	C	2.10605			HDL cholesterol; non-alcoholic fatty liver disease	2	['spoke-genelab', 'digcfdekg']	one-to-one	97
OSD-25	Csrp3	8048	1.0603	0.000120305	up	C	2.10603		dilated cardiomyopathy; familial dilated cardiomyopathy; hypertrophic cardiomyopathy; lung adenocarcinoma; lung cancer; substance abuse/dependence; substance-related disorder		2	['spoke-genelab', 'rdkg']	one-to-one	98
OSD-25	Lancl2	55915	1.0314	1.75643e-05	up	C	2.10314				2	['spoke-genelab', 'prokn']	one-to-one	99
OSD-25	Pptc7	160760	1.0233	0.000550902	up	C	2.10233		drug-induced liver injury		2	['spoke-genelab', 'rdkg']	one-to-one	100
OSD-47	Depp1	11067	-1.022	0.00583714	down	C	2.1022		Fabry disease; Wolman disease; breast cancer; breast carcinoma; breast neoplasm; chylomicron retention disease; endometriosis (disease); endometriosis of uterus; hereditary breast carcinoma; hereditary breast ovarian cancer syndrome; lysosomal lipid storage disorder; ovarian endometriosis; squamous cell carcinoma of the corpus uteri; undifferentiated carcinoma of the corpus uteri		2	['spoke-genelab', 'rdkg']	one-to-one	101
OSD-25	Ahsa2	130872	-1.0209	2.81179e-06	down	C	2.10209		breast cancer; breast neoplasm; hereditary breast carcinoma; hereditary breast ovarian cancer syndrome; squamous cell carcinoma of the corpus uteri; undifferentiated carcinoma of the corpus uteri		2	['spoke-genelab', 'rdkg']	one-to-one	102
OSD-25	Fbxo31	79791	1.0152	1.26288e-05	up	C	2.10152		intellectual disability, autosomal recessive		2	['spoke-genelab', 'rdkg']	one-to-one	103
OSD-25	Enc1	8507	1.0122	3.53789e-05	up	C	2.10122			HDL cholesterol; LDL cholesterol; triglyceride measurement	2	['spoke-genelab', 'digcfdekg']	one-to-one	104
OSD-25	Irgm1|Irgm2	345611	-1.0039	0.0404764	down	C	2.10039		Crohn disease; Crohn ileitis and jejunitis; Crohn's colitis; ileocolitis; inflammatory bowel disease; mycobacterium tuberculosis, susceptibility to; ulcerative colitis (disease)		2	['spoke-genelab', 'rdkg']	ambiguous	105
OSD-25	Gadd45b	4616	2.2018	1.79266e-05	up	C	1.22018				1	['spoke-genelab']	one-to-one	106
OSD-25	Rab30	27314	1.53	0.000106862	up	C	1.153				1	['spoke-genelab']	one-to-one	107
OSD-25	Bhlhb9	80823	1.3336	0.00035935	up	C	1.13336				1	['spoke-genelab']	ambiguous	108
OSD-25	Bhlhb9	100528062	1.3336	0.00035935	up	C	1.13336				1	['spoke-genelab']	ambiguous	109
OSD-25	Ciart	148523	1.3147	0.00643471	up	C	1.13147				1	['spoke-genelab']	one-to-one	110
OSD-25	Slc41a3	54946	1.2954	5.55622e-05	up	C	1.12954				1	['spoke-genelab']	one-to-one	111
OSD-25	Ube2v2	7336	1.2881	1.61583e-05	up	C	1.12881				1	['spoke-genelab']	one-to-one	112
OSD-25	Tram2	9697	1.216	2.38654e-07	up	C	1.1216				1	['spoke-genelab']	one-to-one	113
OSD-25	Pik3ap1	118788	1.1764	1.21032e-05	up	C	1.11764				1	['spoke-genelab']	one-to-one	114
OSD-25	Timm17a	10440	1.1235	1.55839e-05	up	C	1.11235				1	['spoke-genelab']	one-to-one	115
OSD-25	Slc22a26|Slc22a30	387601	-1.1145	3.17098e-05	down	C	1.11145				1	['spoke-genelab']	ambiguous	116
OSD-25	Gbp11|Gbp8	163351	-1.0555	0.00295845	down	C	1.10555				1	['spoke-genelab']	ambiguous	117
OSD-25	Nsun3	63899	1.0528	0.000528475	up	C	1.10528				1	['spoke-genelab']	one-to-one	118
OSD-25	Shfl	55337	-1.0429	0.0048024	down	C	1.10429				1	['spoke-genelab']	one-to-one	119
OSD-25	Pdp2	57546	1.0138	5.41103e-06	up	C	1.10138				1	['spoke-genelab']	one-to-one	120
OSD-25	Slc16a5	9121	1.0128	0.000171757	up	C	1.10128				1	['spoke-genelab']	one-to-one	121
OSD-25	Slc25a21	89874	1.0125	0.000324631	up	C	1.10125				1	['spoke-genelab']	one-to-one	122
OSD-25	Tmem120a	83862	1.011	1.05087e-06	up	C	1.1011				1	['spoke-genelab']	one-to-one	123
OSD-25	Ppp1r3g	648791	-1.0089	0.0386272	down	C	1.10089				1	['spoke-genelab']	one-to-one	124
OSD-25	Arl4d	379	-1.0014	0.000324631	down	C	1.1001400000000001				1	['spoke-genelab']	one-to-one	125
OSD-25	Slc17a4	10050	-1.0006	0.000119764	down	C	1.10006				1	['spoke-genelab']	one-to-one	126
