gene,biotype,spoke-okn,rdkg,prokn,digcfdekg,n_sources,digcfdekg_weight,confidence_tier
FMR1,protein-coding,1,0,0,0,1,,T4 low
FN1,protein-coding,1,0,0,0,1,,T4 low
FNDC5,protein-coding,1,0,0,0,1,,T4 low
FOXC2,protein-coding,1,0,0,0,1,,T4 low
FOXH1,protein-coding,1,0,0,0,1,,T4 low
FOXP1,protein-coding,1,0,0,0,1,,T4 low
FOXP3,protein-coding,1,0,0,0,1,,T4 low
FOXRED1,protein-coding,1,0,0,0,1,,T4 low
FSCN2,protein-coding,1,0,0,0,1,,T4 low
FUZ,protein-coding,1,0,0,0,1,,T4 low
G6PC2,protein-coding,1,0,0,0,1,,T4 low
G6PC3,protein-coding,1,0,0,0,1,,T4 low
GAD2,protein-coding,1,0,0,0,1,,T4 low
GAPDH,protein-coding,1,0,0,0,1,,T4 low
GAS1,protein-coding,1,0,0,0,1,,T4 low
GATA3,protein-coding,1,0,0,0,1,,T4 low
GATA6,protein-coding,1,0,0,0,1,,T4 low
GFM2,protein-coding,1,0,0,0,1,,T4 low
GHRL,protein-coding,1,0,0,0,1,,T4 low
GJA1,protein-coding,1,0,0,0,1,,T4 low
GJB3,protein-coding,1,0,0,0,1,,T4 low
GJB4,protein-coding,1,0,0,0,1,,T4 low
GLI2,protein-coding,1,0,0,0,1,,T4 low
GLRX5,protein-coding,1,0,0,0,1,,T4 low
GNB3,protein-coding,0,1,0,0,1,,T4 low
GOSR2,protein-coding,1,0,0,0,1,,T4 low
GP2,protein-coding,0,1,0,0,1,,T4 low
GPR101,protein-coding,1,0,0,0,1,,T4 low
GPR35,protein-coding,1,0,0,0,1,,T4 low
GPT,protein-coding,1,0,0,0,1,,T4 low
GPT2,protein-coding,1,0,0,0,1,,T4 low
GPX1,protein-coding,0,1,0,0,1,,T4 low
GPX2,protein-coding,1,0,0,0,1,,T4 low
GPX3,protein-coding,1,0,0,0,1,,T4 low
GPX5,protein-coding,1,0,0,0,1,,T4 low
GPX6,protein-coding,1,0,0,0,1,,T4 low
GPX7,protein-coding,1,0,0,0,1,,T4 low
GPX8,protein-coding,1,0,0,0,1,,T4 low
GSK3A,protein-coding,1,0,0,0,1,,T4 low
GSK3B,protein-coding,1,0,0,0,1,,T4 low
GSTM1,protein-coding,0,1,0,0,1,,T4 low
GTF2I,protein-coding,1,0,0,0,1,,T4 low
GTF2IRD1,protein-coding,1,0,0,0,1,,T4 low
GTF2IRD2,protein-coding,1,0,0,0,1,,T4 low
GUCA1B,protein-coding,1,0,0,0,1,,T4 low
GYG1,protein-coding,1,0,0,0,1,,T4 low
GYS1,protein-coding,1,0,0,0,1,,T4 low
HAMP,protein-coding,1,0,0,0,1,,T4 low
HBA2,protein-coding,1,0,0,0,1,,T4 low
HBB,protein-coding,1,0,0,0,1,,T4 low
HERC2,protein-coding,1,0,0,0,1,,T4 low
HESX1,protein-coding,1,0,0,0,1,,T4 low
HFE,protein-coding,1,0,0,0,1,,T4 low
HGSNAT,protein-coding,1,0,0,0,1,,T4 low
HJV,protein-coding,1,0,0,0,1,,T4 low
HLA-DQA1,protein-coding,1,0,0,0,1,,T4 low
HLA-DQB1,protein-coding,1,0,0,0,1,,T4 low
HLA-DRB1,protein-coding,1,0,0,0,1,,T4 low
HLA-DRB5,protein-coding,0,1,0,0,1,,T4 low
HP,protein-coding,0,1,0,0,1,,T4 low
HPX,protein-coding,0,1,0,0,1,,T4 low
HR,protein-coding,1,0,0,0,1,,T4 low
HSPA5,protein-coding,1,0,0,0,1,,T4 low
HSPG2,protein-coding,1,0,0,0,1,,T4 low
IARS1,protein-coding,1,0,0,0,1,,T4 low
ID1,protein-coding,0,1,0,0,1,,T4 low
IDH3A,protein-coding,1,0,0,0,1,,T4 low
IDH3B,protein-coding,1,0,0,0,1,,T4 low
IFIH1,protein-coding,1,0,0,0,1,,T4 low
IFNG,protein-coding,1,0,0,0,1,,T4 low
IFT140,protein-coding,1,0,0,0,1,,T4 low
IFT172,protein-coding,1,0,0,0,1,,T4 low
IFT27,protein-coding,1,0,0,0,1,,T4 low
IFT74,protein-coding,1,0,0,0,1,,T4 low
IFT88,protein-coding,1,0,0,0,1,,T4 low
IGF1,protein-coding,1,0,0,0,1,,T4 low
IGF2,protein-coding,1,0,0,0,1,,T4 low
IL10,protein-coding,1,0,0,0,1,,T4 low
IL13,protein-coding,1,0,0,0,1,,T4 low
IL13RA1,protein-coding,0,1,0,0,1,,T4 low
IL17A,protein-coding,1,0,0,0,1,,T4 low
IL18,protein-coding,1,0,0,0,1,,T4 low
IL18BP,protein-coding,1,0,0,0,1,,T4 low
IL1A,protein-coding,1,0,0,0,1,,T4 low
IL1B,protein-coding,1,0,0,0,1,,T4 low
IL2,protein-coding,1,0,0,0,1,,T4 low
IL2RA,protein-coding,1,0,0,0,1,,T4 low
IL4,protein-coding,1,0,0,0,1,,T4 low
IMPDH1,protein-coding,1,0,0,0,1,,T4 low
IMPG1,protein-coding,1,0,0,0,1,,T4 low
IMPG2,protein-coding,1,0,0,0,1,,T4 low
INTS11,protein-coding,1,0,0,0,1,,T4 low
ITCH,protein-coding,1,0,0,0,1,,T4 low
ITGAM,protein-coding,1,0,0,0,1,,T4 low
ITLN1,protein-coding,0,1,0,0,1,,T4 low
ITPR3,protein-coding,1,0,0,0,1,,T4 low
JADE2,protein-coding,0,1,0,0,1,,T4 low
JUN,protein-coding,1,0,0,0,1,,T4 low
KCTD1,protein-coding,1,0,0,0,1,,T4 low
KDSR,protein-coding,1,0,0,0,1,,T4 low
KIAA1549,protein-coding,1,0,0,0,1,,T4 low
KIF11,protein-coding,1,0,0,0,1,,T4 low
KIZ,protein-coding,1,0,0,0,1,,T4 low
KLF11,protein-coding,1,0,0,0,1,,T4 low
KLHL7,protein-coding,1,0,0,0,1,,T4 low
KRAS,protein-coding,1,0,0,0,1,,T4 low
LCN2,protein-coding,1,0,0,0,1,,T4 low
LEMD3,protein-coding,1,0,0,0,1,,T4 low
LHX1,protein-coding,1,0,0,0,1,,T4 low
LIG4,protein-coding,1,0,0,0,1,,T4 low
LIMK1,protein-coding,1,0,0,0,1,,T4 low
LMF1,protein-coding,1,0,0,0,1,,T4 low
LMNA,protein-coding,1,0,0,0,1,,T4 low
LMNB2,protein-coding,1,0,0,0,1,,T4 low
LRAT,protein-coding,1,0,0,0,1,,T4 low
LRBA,protein-coding,1,0,0,0,1,,T4 low
LRP6,protein-coding,1,0,0,0,1,,T4 low
LSM11,protein-coding,1,0,0,0,1,,T4 low
LZTFL1,protein-coding,1,0,0,0,1,,T4 low
MAEA,protein-coding,0,1,0,0,1,,T4 low
MAGEL2,protein-coding,1,0,0,0,1,,T4 low
MAK,protein-coding,1,0,0,0,1,,T4 low
MANF,protein-coding,1,0,0,0,1,,T4 low
MAPK3,protein-coding,1,0,0,0,1,,T4 low
MAPK8,protein-coding,1,0,0,0,1,,T4 low
MAT1A,protein-coding,0,1,0,0,1,,T4 low
MCF2L2,protein-coding,1,0,0,0,1,,T4 low
MEF2A,protein-coding,1,0,0,0,1,,T4 low
MEN1,protein-coding,1,0,0,0,1,,T4 low
MERTK,protein-coding,1,0,0,0,1,,T4 low
METTL27,protein-coding,1,0,0,0,1,,T4 low
MGAM,protein-coding,1,0,0,0,1,,T4 low
MIA3,protein-coding,1,0,0,0,1,,T4 low
MICU1,protein-coding,1,0,0,0,1,,T4 low
MIR10B,non-coding,0,1,0,0,1,,T4 low
MIR1226,non-coding,0,1,0,0,1,,T4 low
MIR1228,non-coding,0,1,0,0,1,,T4 low
MIR1249,non-coding,0,1,0,0,1,,T4 low
MIR125B1,non-coding,0,1,0,0,1,,T4 low
MIR126,non-coding,0,1,0,0,1,,T4 low
MIR1260A,non-coding,0,1,0,0,1,,T4 low
MIR1260B,non-coding,0,1,0,0,1,,T4 low
MIR127,non-coding,0,1,0,0,1,,T4 low
MIR1296,non-coding,0,1,0,0,1,,T4 low
MIR1301,non-coding,0,1,0,0,1,,T4 low
MIR1306,non-coding,0,1,0,0,1,,T4 low
MIR1307,non-coding,0,1,0,0,1,,T4 low
MIR130B,non-coding,0,1,0,0,1,,T4 low
MIR140,non-coding,0,1,0,0,1,,T4 low
MIR141,non-coding,0,1,0,0,1,,T4 low
MIR142,non-coding,0,1,0,0,1,,T4 low
MIR144,non-coding,0,1,0,0,1,,T4 low
MIR151A,non-coding,0,1,0,0,1,,T4 low
MIR17HG,non-coding,0,1,0,0,1,,T4 low
MIR181C,non-coding,0,1,0,0,1,,T4 low
MIR1908,non-coding,0,1,0,0,1,,T4 low
MIR192,non-coding,0,1,0,0,1,,T4 low
MIR195,non-coding,0,1,0,0,1,,T4 low
MIR200A,non-coding,0,1,0,0,1,,T4 low
MIR203A,non-coding,0,1,0,0,1,,T4 low
MIR204,non-coding,0,1,0,0,1,,T4 low
MIR205,non-coding,0,1,0,0,1,,T4 low
MIR2116,non-coding,0,1,0,0,1,,T4 low
MIR214,non-coding,0,1,0,0,1,,T4 low
MIR215,non-coding,0,1,0,0,1,,T4 low
MIR221,non-coding,0,1,0,0,1,,T4 low
MIR222,non-coding,0,1,0,0,1,,T4 low
MIR27A,non-coding,0,1,0,0,1,,T4 low
MIR30A,non-coding,0,1,0,0,1,,T4 low
MIR3173,non-coding,0,1,0,0,1,,T4 low
MIR335,non-coding,0,1,0,0,1,,T4 low
MIR339,non-coding,0,1,0,0,1,,T4 low
MIR33B,non-coding,0,1,0,0,1,,T4 low
MIR375,non-coding,0,1,0,0,1,,T4 low
MIR377,non-coding,0,1,0,0,1,,T4 low
MIR409,non-coding,0,1,0,0,1,,T4 low
MIR423,non-coding,0,1,0,0,1,,T4 low
MIR432,non-coding,0,1,0,0,1,,T4 low
MIR4482,non-coding,0,1,0,0,1,,T4 low
MIR4516,non-coding,0,1,0,0,1,,T4 low
MIR483,non-coding,0,1,0,0,1,,T4 low
MIR485,non-coding,0,1,0,0,1,,T4 low
MIR487B,non-coding,0,1,0,0,1,,T4 low
MIR532,non-coding,0,1,0,0,1,,T4 low
MIR628,non-coding,0,1,0,0,1,,T4 low
MIR6741,non-coding,0,1,0,0,1,,T4 low
MIR6803,non-coding,0,1,0,0,1,,T4 low
MIR744,non-coding,0,1,0,0,1,,T4 low
MIR7704,non-coding,0,1,0,0,1,,T4 low
MIR8061,non-coding,0,1,0,0,1,,T4 low
MIR885,non-coding,0,1,0,0,1,,T4 low
MIR92B,non-coding,0,1,0,0,1,,T4 low
MIR939,non-coding,0,1,0,0,1,,T4 low
MIR98,non-coding,0,1,0,0,1,,T4 low
MIRLET7D,non-coding,0,1,0,0,1,,T4 low
MKKS,protein-coding,1,0,0,0,1,,T4 low
MKRN3,protein-coding,1,0,0,0,1,,T4 low
MKS1,protein-coding,1,0,0,0,1,,T4 low
MMP14,protein-coding,1,0,0,0,1,,T4 low
MMP2,protein-coding,1,0,0,0,1,,T4 low
MMP9,protein-coding,1,0,0,0,1,,T4 low
MOG,protein-coding,1,0,0,0,1,,T4 low
MOK,protein-coding,0,1,0,0,1,,T4 low
MRAS,protein-coding,0,1,0,0,1,,T4 low
MST1,protein-coding,1,0,0,0,1,,T4 low
MTHFR,protein-coding,1,0,0,0,1,,T4 low
MTOR,protein-coding,1,0,0,0,1,,T4 low
MYH14,protein-coding,1,0,0,0,1,,T4 low
NAA10,protein-coding,1,0,0,0,1,,T4 low
NAF1,protein-coding,1,0,0,0,1,,T4 low
NAMPT,protein-coding,1,0,0,0,1,,T4 low
NCF1,protein-coding,1,0,0,0,1,,T4 low
ND1,protein-coding,1,0,0,0,1,,T4 low
ND2,protein-coding,1,0,0,0,1,,T4 low
ND3,protein-coding,1,0,0,0,1,,T4 low
ND4,protein-coding,1,0,0,0,1,,T4 low
ND5,protein-coding,1,0,0,0,1,,T4 low
ND6,protein-coding,1,0,0,0,1,,T4 low
NDN,protein-coding,1,0,0,0,1,,T4 low
NDP,protein-coding,1,0,0,0,1,,T4 low
NDUFA1,protein-coding,1,0,0,0,1,,T4 low
NDUFA11,protein-coding,1,0,0,0,1,,T4 low
NDUFA6,protein-coding,1,0,0,0,1,,T4 low
NDUFAF1,protein-coding,1,0,0,0,1,,T4 low
NDUFAF2,protein-coding,1,0,0,0,1,,T4 low
NDUFAF3,protein-coding,1,0,0,0,1,,T4 low
NDUFAF4,protein-coding,1,0,0,0,1,,T4 low
NDUFAF5,protein-coding,1,0,0,0,1,,T4 low
NDUFAF8,protein-coding,1,0,0,0,1,,T4 low
NDUFB10,protein-coding,1,0,0,0,1,,T4 low
NDUFB11,protein-coding,1,0,0,0,1,,T4 low
NDUFB3,protein-coding,1,0,0,0,1,,T4 low
NDUFB9,protein-coding,1,0,0,0,1,,T4 low
NDUFS1,protein-coding,1,0,0,0,1,,T4 low
NDUFS2,protein-coding,1,0,0,0,1,,T4 low
NDUFS3,protein-coding,1,0,0,0,1,,T4 low
NDUFS4,protein-coding,1,0,0,0,1,,T4 low
NDUFS6,protein-coding,1,0,0,0,1,,T4 low
NDUFS7,protein-coding,1,0,0,0,1,,T4 low
NDUFS8,protein-coding,1,0,0,0,1,,T4 low
NDUFV1,protein-coding,1,0,0,0,1,,T4 low
NDUFV2,protein-coding,1,0,0,0,1,,T4 low
NEK2,protein-coding,1,0,0,0,1,,T4 low
NFATC2,protein-coding,0,1,0,0,1,,T4 low
NFE2L2,protein-coding,1,0,0,0,1,,T4 low
NHP2,protein-coding,1,0,0,0,1,,T4 low
NKX2-5,protein-coding,1,0,0,0,1,,T4 low
NLRP3,protein-coding,1,0,0,0,1,,T4 low
NODAL,protein-coding,1,0,0,0,1,,T4 low
NOP10,protein-coding,1,0,0,0,1,,T4 low
NOS2,protein-coding,0,1,0,0,1,,T4 low
NOTCH3,protein-coding,1,0,0,0,1,,T4 low
NOX4,protein-coding,1,0,0,0,1,,T4 low
NPAP1,protein-coding,1,0,0,0,1,,T4 low
NPHP1,protein-coding,1,0,0,0,1,,T4 low
NPM1,protein-coding,1,0,0,0,1,,T4 low
NPPB,protein-coding,1,0,0,0,1,,T4 low
NPY,protein-coding,1,0,0,0,1,,T4 low
NR2E3,protein-coding,1,0,0,0,1,,T4 low
NR3C1,protein-coding,1,0,0,0,1,,T4 low
NR3C2,protein-coding,1,0,0,0,1,,T4 low
NRL,protein-coding,1,0,0,0,1,,T4 low
NSMCE2,protein-coding,1,0,0,0,1,,T4 low
NUAK2,protein-coding,1,0,0,0,1,,T4 low
NUBPL,protein-coding,1,0,0,0,1,,T4 low
OAS1,protein-coding,1,0,0,0,1,,T4 low
OCA2,protein-coding,1,0,0,0,1,,T4 low
OFD1,protein-coding,1,0,0,0,1,,T4 low
OGG1,protein-coding,0,1,0,0,1,,T4 low
OPA1,protein-coding,1,0,0,0,1,,T4 low
OR5V1,protein-coding,1,0,0,0,1,,T4 low
OTX2,protein-coding,1,0,0,0,1,,T4 low
PALB2,protein-coding,1,0,0,0,1,,T4 low
PALLD,protein-coding,1,0,0,0,1,,T4 low
PARN,protein-coding,1,0,0,0,1,,T4 low
PCARE,protein-coding,1,0,0,0,1,,T4 low
PCBD1,protein-coding,1,0,0,0,1,,T4 low
PCNT,protein-coding,1,0,0,0,1,,T4 low
PCSK2,protein-coding,0,1,0,0,1,,T4 low
PCSK9,protein-coding,1,0,0,0,1,,T4 low
PCYT1A,protein-coding,1,0,0,0,1,,T4 low
PDE11A,protein-coding,1,0,0,0,1,,T4 low
PDE4D,protein-coding,1,0,0,0,1,,T4 low
PDE6A,protein-coding,1,0,0,0,1,,T4 low
PDE6B,protein-coding,1,0,0,0,1,,T4 low
PDE6G,protein-coding,1,0,0,0,1,,T4 low
PDE8B,protein-coding,1,0,0,0,1,,T4 low
PECAM1,protein-coding,1,0,0,0,1,,T4 low
PEPD,protein-coding,0,1,0,0,1,,T4 low
PEX1,protein-coding,1,0,0,0,1,,T4 low
PEX10,protein-coding,1,0,0,0,1,,T4 low
PEX6,protein-coding,1,0,0,0,1,,T4 low
PI4KA,protein-coding,1,0,0,0,1,,T4 low
PIK3C3,protein-coding,1,0,0,0,1,,T4 low
PIK3CA,protein-coding,1,0,0,0,1,,T4 low
PIK3CB,protein-coding,1,0,0,0,1,,T4 low
PIK3CD,protein-coding,1,0,0,0,1,,T4 low
PIK3CG,protein-coding,1,0,0,0,1,,T4 low
PLAGL1,protein-coding,1,0,0,0,1,,T4 low
PLAT,protein-coding,1,0,0,0,1,,T4 low
PLCD1,protein-coding,1,0,0,0,1,,T4 low
PLEKHA1,protein-coding,0,1,0,0,1,,T4 low
PLG,protein-coding,1,0,0,0,1,,T4 low
PLIN1,protein-coding,1,0,0,0,1,,T4 low
PNPLA2,protein-coding,1,0,0,0,1,,T4 low
PNPLA3,protein-coding,1,0,0,0,1,,T4 low
PNPLA6,protein-coding,1,0,0,0,1,,T4 low
POC1A,protein-coding,1,0,0,0,1,,T4 low
POLA1,protein-coding,1,0,0,0,1,,T4 low
POLD1,protein-coding,1,0,0,0,1,,T4 low
POLG,protein-coding,1,0,0,0,1,,T4 low
POLG2,protein-coding,1,0,0,0,1,,T4 low
POLR3A,protein-coding,1,0,0,0,1,,T4 low
POMGNT1,protein-coding,1,0,0,0,1,,T4 low
PPARD,protein-coding,1,0,0,0,1,,T4 low
PPP1R15B,protein-coding,1,0,0,0,1,,T4 low
PPY,protein-coding,1,0,0,0,1,,T4 low
PRCD,protein-coding,1,0,0,0,1,,T4 low
PRKACB,protein-coding,1,0,0,0,1,,T4 low
PRKACG,protein-coding,1,0,0,0,1,,T4 low
PRKAR1A,protein-coding,1,0,0,0,1,,T4 low
PRKCB,protein-coding,0,1,0,0,1,,T4 low
PRL,protein-coding,1,0,0,0,1,,T4 low
PROK2,protein-coding,1,0,0,0,1,,T4 low
PROKR2,protein-coding,1,0,0,0,1,,T4 low
PROM1,protein-coding,1,0,0,0,1,,T4 low
PRPF3,protein-coding,1,0,0,0,1,,T4 low
PRPF31,protein-coding,1,0,0,0,1,,T4 low
PRPF4,protein-coding,1,0,0,0,1,,T4 low
PRPF6,protein-coding,1,0,0,0,1,,T4 low
PRPF8,protein-coding,1,0,0,0,1,,T4 low
PRPH2,protein-coding,1,0,0,0,1,,T4 low
PRSS1,protein-coding,1,0,0,0,1,,T4 low
PRSS2,protein-coding,1,0,0,0,1,,T4 low
PSTPIP1,protein-coding,1,0,0,0,1,,T4 low
PTCH1,protein-coding,1,0,0,0,1,,T4 low
PTF1A,protein-coding,1,0,0,0,1,,T4 low
PTGS2,protein-coding,1,0,0,0,1,,T4 low
PTH,protein-coding,1,0,0,0,1,,T4 low
PTPN22,protein-coding,1,0,0,0,1,,T4 low
PTPRC,protein-coding,1,0,0,0,1,,T4 low
PTPRN,protein-coding,1,0,0,0,1,,T4 low
PTPRN2,protein-coding,1,0,0,0,1,,T4 low
PTRH2,protein-coding,1,0,0,0,1,,T4 low
PXDN,protein-coding,1,0,0,0,1,,T4 low
PXDNL,protein-coding,1,0,0,0,1,,T4 low
PYY,protein-coding,1,0,0,0,1,,T4 low
RABL3,protein-coding,1,0,0,0,1,,T4 low
RAC1,protein-coding,1,0,0,0,1,,T4 low
RBM6,protein-coding,1,0,0,0,1,,T4 low
RBP3,protein-coding,1,0,0,0,1,,T4 low
RBP4,protein-coding,1,0,0,0,1,,T4 low
RBPJ,protein-coding,0,0,1,0,1,,T4 low
RDH12,protein-coding,1,0,0,0,1,,T4 low
REEP6,protein-coding,1,0,0,0,1,,T4 low
RELA,protein-coding,0,1,0,0,1,,T4 low
REN,protein-coding,1,0,0,0,1,,T4 low
RETNLB,protein-coding,1,0,0,0,1,,T4 low
RFC2,protein-coding,1,0,0,0,1,,T4 low
RFX6,protein-coding,1,0,0,0,1,,T4 low
RGR,protein-coding,1,0,0,0,1,,T4 low
RHO,protein-coding,1,0,0,0,1,,T4 low
RLBP1,protein-coding,1,0,0,0,1,,T4 low
RNASEH2A,protein-coding,1,0,0,0,1,,T4 low
RNASEH2B,protein-coding,1,0,0,0,1,,T4 low
RNASEH2C,protein-coding,1,0,0,0,1,,T4 low
RNF6,protein-coding,0,1,0,0,1,,T4 low
ROM1,protein-coding,1,0,0,0,1,,T4 low
RP1,protein-coding,1,0,0,0,1,,T4 low
RP1L1,protein-coding,1,0,0,0,1,,T4 low
RP2,protein-coding,1,0,0,0,1,,T4 low
RP9,protein-coding,1,0,0,0,1,,T4 low
RPE65,protein-coding,1,0,0,0,1,,T4 low
RPGR,protein-coding,1,0,0,0,1,,T4 low
RPS6KB1,protein-coding,1,0,0,0,1,,T4 low
RREB1,protein-coding,1,0,0,0,1,,T4 low
RRM2B,protein-coding,1,0,0,0,1,,T4 low
RTEL1,protein-coding,1,0,0,0,1,,T4 low
RTL1,protein-coding,1,0,0,0,1,,T4 low
S100A6,protein-coding,0,1,0,0,1,,T4 low
SAG,protein-coding,1,0,0,0,1,,T4 low
SAMHD1,protein-coding,1,0,0,0,1,,T4 low
SARS2,protein-coding,1,0,0,0,1,,T4 low
SBDS,protein-coding,1,0,0,0,1,,T4 low
SCAPER,protein-coding,1,0,0,0,1,,T4 low
SCARB1,protein-coding,1,0,0,0,1,,T4 low
SCARB2,protein-coding,1,0,0,0,1,,T4 low
SCD,protein-coding,1,0,0,0,1,,T4 low
SCLT1,protein-coding,1,0,0,0,1,,T4 low
SCTR,protein-coding,0,1,0,0,1,,T4 low
SDCCAG8,protein-coding,1,0,0,0,1,,T4 low
SELE,protein-coding,1,0,0,0,1,,T4 low
SEMA4A,protein-coding,1,0,0,0,1,,T4 low
SEMA4D,protein-coding,1,0,0,0,1,,T4 low
SERPINE1,protein-coding,1,0,0,0,1,,T4 low
SFRP4,protein-coding,0,1,0,0,1,,T4 low
SH2B3,protein-coding,1,0,0,0,1,,T4 low
SHH,protein-coding,1,0,0,0,1,,T4 low
SI,protein-coding,1,0,0,0,1,,T4 low
SIM1,protein-coding,1,0,0,0,1,,T4 low
SIRT3,protein-coding,1,0,0,0,1,,T4 low
SIX3,protein-coding,1,0,0,0,1,,T4 low
SLC12A3,protein-coding,1,0,0,0,1,,T4 low
SLC16A11,protein-coding,1,0,0,0,1,,T4 low
SLC16A13,protein-coding,1,0,0,0,1,,T4 low
SLC19A2,protein-coding,1,0,0,0,1,,T4 low
SLC1A2,protein-coding,0,1,0,0,1,,T4 low
SLC22A3,protein-coding,0,1,0,0,1,,T4 low
SLC25A4,protein-coding,1,0,0,0,1,,T4 low
SLC29A3,protein-coding,1,0,0,0,1,,T4 low
SLC30A10,protein-coding,1,0,0,0,1,,T4 low
SLC37A4,protein-coding,1,0,0,0,1,,T4 low
SLC40A1,protein-coding,1,0,0,0,1,,T4 low
SLC5A1,protein-coding,1,0,0,0,1,,T4 low
SLC5A2,protein-coding,1,0,0,0,1,,T4 low
SLC7A14,protein-coding,1,0,0,0,1,,T4 low
SMAD4,protein-coding,1,0,0,0,1,,T4 low
SMAD5,protein-coding,0,1,0,0,1,,T4 low
SMPD4,protein-coding,1,0,0,0,1,,T4 low
SNAP25,protein-coding,0,1,0,0,1,,T4 low
SNRNP200,protein-coding,1,0,0,0,1,,T4 low
SNRPN,protein-coding,1,0,0,0,1,,T4 low
SOD1,protein-coding,0,1,0,0,1,,T4 low
SOD2,protein-coding,0,1,0,0,1,,T4 low
SOX2,protein-coding,1,0,0,0,1,,T4 low
SOX3,protein-coding,1,0,0,0,1,,T4 low
SPATA7,protein-coding,1,0,0,0,1,,T4 low
SPI1,protein-coding,1,0,0,0,1,,T4 low
SPINK1,protein-coding,1,0,0,0,1,,T4 low
SRP54,protein-coding,1,0,0,0,1,,T4 low
SST,protein-coding,1,0,0,0,1,,T4 low
STAT1,protein-coding,1,0,0,0,1,,T4 low
STOX1,protein-coding,1,0,0,0,1,,T4 low
STUB1,protein-coding,1,0,0,0,1,,T4 low
STX1A,protein-coding,1,0,0,0,1,,T4 low
SUFU,protein-coding,1,0,0,0,1,,T4 low
SUMO4,protein-coding,1,0,0,0,1,,T4 low
TBC1D4,protein-coding,1,0,0,0,1,,T4 low
TBL2,protein-coding,1,0,0,0,1,,T4 low
TERT,protein-coding,1,0,0,0,1,,T4 low
TGIF1,protein-coding,1,0,0,0,1,,T4 low
THRB,protein-coding,1,0,0,0,1,,T4 low
TIMMDC1,protein-coding,1,0,0,0,1,,T4 low
TIMP1,protein-coding,0,1,0,0,1,,T4 low
TINF2,protein-coding,1,0,0,0,1,,T4 low
TKT,protein-coding,1,0,0,0,1,,T4 low
TLR2,protein-coding,1,0,0,0,1,,T4 low
TLR4,protein-coding,1,0,0,0,1,,T4 low
TLR8,protein-coding,1,0,0,0,1,,T4 low
TMEM126B,protein-coding,1,0,0,0,1,,T4 low
TMEM155,protein-coding,0,1,0,0,1,,T4 low
TMEM270,protein-coding,1,0,0,0,1,,T4 low
TNFRSF1A,protein-coding,0,1,0,0,1,,T4 low
TNFRSF1B,protein-coding,0,1,0,0,1,,T4 low
TNFRSF25,protein-coding,1,0,0,0,1,,T4 low
TOM1,protein-coding,1,0,0,0,1,,T4 low
TOPORS,protein-coding,1,0,0,0,1,,T4 low
TREX1,protein-coding,1,0,0,0,1,,T4 low
TRIM32,protein-coding,1,0,0,0,1,,T4 low
TRMT10A,protein-coding,1,0,0,0,1,,T4 low
TTC7A,protein-coding,1,0,0,0,1,,T4 low
TTC8,protein-coding,1,0,0,0,1,,T4 low
TTPA,protein-coding,1,0,0,0,1,,T4 low
TUB,protein-coding,1,0,0,0,1,,T4 low
TULP1,protein-coding,1,0,0,0,1,,T4 low
TWNK,protein-coding,1,0,0,0,1,,T4 low
TYMS,protein-coding,1,0,0,0,1,,T4 low
UBR1,protein-coding,1,0,0,0,1,,T4 low
UCP1,protein-coding,1,0,0,0,1,,T4 low
UCP3,protein-coding,1,0,0,0,1,,T4 low
USB1,protein-coding,1,0,0,0,1,,T4 low
USH2A,protein-coding,1,0,0,0,1,,T4 low
USP8,protein-coding,1,0,0,0,1,,T4 low
VANGL1,protein-coding,1,0,0,0,1,,T4 low
VANGL2,protein-coding,1,0,0,0,1,,T4 low
VCAM1,protein-coding,1,0,0,0,1,,T4 low
VPS26A,protein-coding,0,1,0,0,1,,T4 low
VPS37D,protein-coding,1,0,0,0,1,,T4 low
VWF,protein-coding,1,0,0,0,1,,T4 low
WDPCP,protein-coding,1,0,0,0,1,,T4 low
WRAP53,protein-coding,1,0,0,0,1,,T4 low
XDH,protein-coding,1,0,0,0,1,,T4 low
XRCC4,protein-coding,1,0,0,0,1,,T4 low
YIPF5,protein-coding,1,0,0,0,1,,T4 low
ZC3HC1,protein-coding,0,1,0,0,1,,T4 low
ZFAND3,protein-coding,0,1,0,0,1,,T4 low
ZFP57,protein-coding,1,0,0,0,1,,T4 low
ZFYVE26,protein-coding,1,0,0,0,1,,T4 low
ZIC2,protein-coding,1,0,0,0,1,,T4 low
ZMPSTE24,protein-coding,1,0,0,0,1,,T4 low
ZNF257,protein-coding,0,1,0,0,1,,T4 low
ZNF408,protein-coding,1,0,0,0,1,,T4 low
ZNF513,protein-coding,1,0,0,0,1,,T4 low
ZNF668,protein-coding,1,0,0,0,1,,T4 low
ZNRF3,protein-coding,1,0,0,0,1,,T4 low
