finding_id,layer,chemical,entity,related_entity,source_kg,relationship_type,effect_or_score,evidence_kind,notes
F0194,rare-disease,(via target),NR1I3,8 MONDO rare diseases,rdkg,associated-with-disease,8,curated rare-disease association,
F0195,protein-annotation,(via target),ESR1,UniProt:P03372,prokn,protein-annotation,15 Reactome; 31 GO,curated protein annotation,
F0196,protein-annotation,(via target),NR3C1,UniProt:P04150,prokn,protein-annotation,8 Reactome; 25 GO,curated protein annotation,
F0197,protein-annotation,(via target),PPARG,UniProt:P37231,prokn,protein-annotation,8 Reactome; 29 GO,curated protein annotation,
F0198,protein-annotation,(via target),GATA3,UniProt:P23771,prokn,protein-annotation,7 Reactome; 21 GO,curated protein annotation,
F0199,protein-annotation,(via target),AR,UniProt:P10275,prokn,protein-annotation,6 Reactome; 29 GO,curated protein annotation,
F0200,protein-annotation,(via target),ESR2,UniProt:Q92731,prokn,protein-annotation,6 Reactome; 16 GO,curated protein annotation,
F0201,protein-annotation,(via target),TTR,UniProt:P02766,prokn,protein-annotation,6 Reactome; 6 GO,curated protein annotation,
F0202,protein-annotation,(via target),AHR,UniProt:P35869,prokn,protein-annotation,5 Reactome; 17 GO,curated protein annotation,
F0203,protein-annotation,(via target),PGR,UniProt:P06401,prokn,protein-annotation,5 Reactome; 19 GO,curated protein annotation,
F0204,protein-annotation,(via target),ESRRA,UniProt:P11474,prokn,protein-annotation,4 Reactome; 14 GO,curated protein annotation,
F0205,protein-annotation,(via target),GPER1,UniProt:Q99527,prokn,protein-annotation,3 Reactome; 7 GO,curated protein annotation,
F0206,protein-annotation,(via target),NR1I2,UniProt:O75469,prokn,protein-annotation,2 Reactome; 12 GO,curated protein annotation,
F0207,protein-annotation,(via target),THRA,UniProt:P10827,prokn,protein-annotation,2 Reactome; 15 GO,curated protein annotation,
F0208,protein-annotation,(via target),THRB,UniProt:P10828,prokn,protein-annotation,2 Reactome; 14 GO,curated protein annotation,
F0209,protein-annotation,(via target),ESRRG,UniProt:P62508,prokn,protein-annotation,1 Reactome; 16 GO,curated protein annotation,
F0210,protein-annotation,(via target),NR1I3,UniProt:Q14994,prokn,protein-annotation,1 Reactome; 12 GO,curated protein annotation,
F0211,disease-phenotype,(outcome),precocious puberty,1639 EHR phenotypes,oard-kg,disease-phenotype,1639,EHR disease-phenotype association,MONDO_0000088
F0212,disease-phenotype,(outcome),prostate cancer,1218 EHR phenotypes,oard-kg,disease-phenotype,1218,EHR disease-phenotype association,MONDO_0008315
F0213,industry,(bisphenol class),sudokn,US manufacturers of polycarbonate products (BPA-derived),sudokn,manufactured-used-by,,industrial capability listing,"e.g. abcomolds.com (TUFFAK polycarbonate sheets), 3acindustry.com (IMPEX polycarbonate), 3erp.com (polycarbonate filament/injection moldings)"
F0214,industry,(bisphenol class),sudokn,US manufacturers of epoxy-resin products (BPA-derived),sudokn,manufactured-used-by,,industrial capability listing,"e.g. 1proline.com (epoxy resin workbenches/surfaces), 3erp.com (epoxy resin molds)"
F0215,industry,(bisphenol class),sawgraph,No bisphenols present,sawgraph,manufactured-used-by,,negative coverage,SAWGraph is PFAS-only; 0 of 7 tested bisphenol CAS numbers found
F0216,industry,(bisphenol class),fiokg,No bisphenol chemical identifiers,fiokg,manufactured-used-by,,negative coverage,FRS facilities + NAICS industry codes + geospatial only; no CAS/DTXSID chemical layer to join bisphenols
