hEntrez	humanSymbol_wt	symbol_wt	mEntrez_wt	log2fc_wt	log2fc_mean_wt	adj_p_value_wt	n_mouse_map_wt	humanSymbol_ko	symbol_ko	mEntrez_ko	log2fc_ko	log2fc_mean_ko	adj_p_value_ko	n_mouse_map_ko	sig_wt	sig_ko
23275								POFUT2	Pofut2	80294	-0.2842	-0.2842	0.0401815	1.0	False	True
23277								CLUH	Cluh	74148	-0.444307	-0.444307	0.0126623	1.0	False	True
23279								NUP160	Nup160	59015	-0.320034	-0.320034	0.0105919	1.0	False	True
23293	SMG6	Smg6	103677	-0.468494	-0.468494	0.000411774	1.0	SMG6	Smg6	103677	-0.390934	-0.390934	0.00411068	1.0	True	True
23299	BICD2	Bicd2	76895	-0.258492	-0.258492	0.0363389	1.0	BICD2	Bicd2	76895	-0.368515	-0.368515	0.00197754	1.0	True	True
23303	KIF13B	Kif13b	16554	-0.364411	-0.364411	0.0168442	1.0								True	False
23306	NEMP1	1700012D01Rik|Nemp1	210035	-0.541292	-0.541292	9.91452e-05	1.0	NEMP1	1700012D01Rik|Nemp1	210035	-0.593998	-0.593998	1.97091e-05	1.0	True	True
23309	SIN3B	Sin3b	20467	0.273773	0.273773	0.0394587	1.0								True	False
23310	NCAPD3	Ncapd3	78658	-0.485467	-0.485467	5.47434e-05	1.0	NCAPD3	Ncapd3	78658	-0.504607	-0.504607	2.5198e-05	1.0	True	True
23315	SLC9A8	Slc9a8	77031	-0.556606	-0.556606	2.58971e-05	1.0	SLC9A8	Slc9a8	77031	-0.438037	-0.438037	0.00145095	1.0	True	True
23321	TRIM2	Trim2	80890	-0.660621	-0.660621	0.0170294	1.0	TRIM2	Trim2	80890	-0.557687	-0.557687	0.0457889	1.0	True	True
23324								MAN2B2	Man2b2	17160	-0.657351	-0.657351	0.0041551	1.0	False	True
23325								WASHC4	Washc4	319277	0.35451	0.35451	0.00193249	1.0	False	True
23326								USP22	Usp22	216825	-0.527612	-0.527612	0.0135434	1.0	False	True
23334								SZT2	Szt2	230676	-0.535932	-0.535932	0.00266108	1.0	False	True
23335	WDR7	Wdr7	104082	-0.492385	-0.492385	4.41856e-05	1.0								True	False
23336	SYNM	Synm	233335	-1.09702	-1.09702	0.0151104	1.0								True	False
2334								AFF2	Aff2	14266	0.474065	0.474065	0.0445443	1.0	False	True
23341								DNAJC16	Dnajc16	214063	-0.534794	-0.534794	0.0423646	1.0	False	True
23352								UBR4	Ubr4	69116	-0.471865	-0.471865	0.0106412	1.0	False	True
23353	SUN1	Sun1	77053	-0.479739	-0.479739	0.000269817	1.0	SUN1	Sun1	77053	-0.47662	-0.47662	0.0003227	1.0	True	True
23354								HAUS5	Haus5	71909	-0.421125	-0.421125	0.0164118	1.0	False	True
23360	FNBP4	Fnbp4	55935	-0.45809	-0.45809	0.00413861	1.0								True	False
23361								ZNF629	Zfp629	320683	-0.579007	-0.579007	0.00895529	1.0	False	True
23362	PSD3	Psd3	234353	-0.542304	-0.542304	0.00145807	1.0								True	False
23365	ARHGEF12	Arhgef12	69632	-0.819332	-0.819332	1.90525e-07	1.0	ARHGEF12	Arhgef12	69632	-0.750901	-0.750901	2.232e-06	1.0	True	True
23366	KIAA0895	9530077C05Rik	68283	0.481367	0.481367	0.0452355	1.0								True	False
23367								LARP1	Larp1	73158	-0.479211	-0.479211	0.0132073	1.0	False	True
23368								PPP1R13B	Ppp1r13b	21981	-0.309245	-0.309245	0.0444929	1.0	False	True
23371	TNS2	Tns2	209039	-1.13	-1.13	0.0290631	1.0	TNS2	Tns2	209039	-1.23108	-1.23108	0.0188952	1.0	True	True
23381								SMG5	Smg5	229512	-0.349325	-0.349325	0.0096817	1.0	False	True
23383								MAU2	Mau2	74549	-0.288348	-0.288348	4.22157e-05	1.0	False	True
23385								NCSTN	Ncstn	59287	-0.349903	-0.349903	0.0369878	1.0	False	True
23389	MED13L	Med13l	76199	-0.442814	-0.442814	0.00206762	1.0	MED13L	Med13l	76199	-0.540678	-0.540678	0.000118337	1.0	True	True
23394	ADNP	Adnp	11538	-0.467607	-0.467607	0.03512	1.0	ADNP	Adnp	11538	-0.777814	-0.777814	0.000222629	1.0	True	True
23395								LARS2	Lars2	102436	-1.02287	-1.02287	0.0189659	1.0	False	True
23396								PIP5K1C	Pip5k1c	18717	-0.406803	-0.406803	0.0425942	1.0	False	True
23397	NCAPH	Ncaph	215387	-0.465682	-0.465682	0.00021888	1.0	NCAPH	Ncaph	215387	-0.702707	-0.702707	7.07196e-09	1.0	True	True
23400								ATP13A2	Atp13a2	74772	-1.10026	-1.10026	1.93659e-10	1.0	False	True
23403								FBXO46	Fbxo46	243867	-0.374337	-0.374337	0.0467546	1.0	False	True
23406	COTL1	Cotl1	72042	0.450457	0.450457	0.00477668	1.0								True	False
23412	COMMD3	Commd3	12238	0.337695	0.337695	0.0240135	1.0	COMMD3	Commd3	12238	0.352481	0.352481	0.0156058	1.0	True	True
23421	ITGB3BP	Itgb3bp	67733	0.798741	0.798741	0.00195035	1.0								True	False
23423	TMED3	Tmed3	66111	0.489085	0.489085	4.30657e-06	1.0	TMED3	Tmed3	66111	0.415084	0.415084	0.000128163	1.0	True	True
23429								RYBP	Rybp|Rybp-ps	56353	0.341865	0.341865	0.00613388	1.0	False	True
23433	RHOQ	Rhoq	104215	-0.241842	-0.241842	0.028361	1.0								True	False
23446								SLC44A1	Slc44a1	100434	-0.275356	-0.275356	0.00421775	1.0	False	True
23450								SF3B3	Sf3b3	101943	-0.328515	-0.328515	0.00572611	1.0	False	True
23456	ABCB10	Abcb10	56199	-0.760457	-0.760457	7.66252e-09	1.0	ABCB10	Abcb10	56199	-0.925405	-0.925405	1.41719e-12	1.0	True	True
23457	ABCB9	Abcb9	56325	-0.482987	-0.482987	0.00389968	1.0	ABCB9	Abcb9	56325	-0.763522	-0.763522	1.48678e-06	1.0	True	True
23463								ICMT	Icmt	57295	-0.465878	-0.465878	0.00227704	1.0	False	True
23466	CBX6	Cbx6	494448	-0.731879	-0.731879	1.3653e-07	1.0	CBX6	Cbx6	494448	-0.941858	-0.941858	1.21119e-11	1.0	True	True
23468	CBX5	Cbx5	12419	-0.390844	-0.390844	0.000499663	1.0	CBX5	Cbx5	12419	-0.422087	-0.422087	0.000146671	1.0	True	True
23474	ETHE1	Ethe1	66071	0.465498	0.465498	0.00135065	1.0								True	False
23476								BRD4	Brd4	57261	-0.642506	-0.642506	0.00682371	1.0	False	True
23478	SEC11A	Sec11a	56529	0.428964	0.428964	0.00185512	1.0	SEC11A	Sec11a	56529	0.371486	0.371486	0.00776711	1.0	True	True
23483	TGDS	Tgds	76355	0.42631	0.42631	0.00173597	1.0								True	False
23484	LEPROTL1	Leprotl1	68192	0.281954	0.281954	0.032106	1.0	LEPROTL1	Leprotl1	68192	0.299981	0.299981	0.0217606	1.0	True	True
23505	TMEM131	Tmem131	56030	-0.478663	-0.478663	0.00296671	1.0	TMEM131	Tmem131	56030	-0.690263	-0.690263	7.37563e-06	1.0	True	True
23509	POFUT1	Pofut1	140484	-0.273164	-0.273164	0.0263937	1.0	POFUT1	Pofut1	140484	-0.42471	-0.42471	0.000266364	1.0	True	True
23511								NUP188	Nup188	227699	-0.68579	-0.68579	2.78967e-05	1.0	False	True
23513								SCRIB	Scrib	105782	-0.7526	-0.7526	1.37131e-05	1.0	False	True
23518	R3HDM1	R3hdm1	226412	-0.382974	-0.382974	0.0109832	1.0	R3HDM1	R3hdm1	226412	-0.321104	-0.321104	0.0374034	1.0	True	True
23523	CABIN1	Cabin1	104248	-0.312566	-0.312566	0.0338714	1.0	CABIN1	Cabin1	104248	-0.439454	-0.439454	0.00175744	1.0	True	True
23524								SRRM2	Srrm2	75956	-0.407972	-0.407972	0.0442919	1.0	False	True
23527								ACAP2	Acap2	78618	0.318891	0.318891	0.00127855	1.0	False	True
23528	ZNF281	Zfp281	226442	0.226612	0.226612	0.0302739	1.0								True	False
2353								FOS	Fos	14281	1.33562	1.33562	0.0152497	1.0	False	True
23531								MMD	Mmd	67468	0.290849	0.290849	0.0194006	1.0	False	True
23541								SEC14L2	Sec14l2	67815	-0.55853	-0.55853	0.0138928	1.0	False	True
23547	LILRA4	Pira11|Pira6|Pira7|Pira12	100038909	0.413823	0.370379	4.51838e-06	3.0	LILRA4	Pira6|Pira13	100041146	0.497463	0.39919525	0.00760424	4.0	True	True
23556								PIGN	Pign	27392	0.323516	0.323516	0.0377275	1.0	False	True
23558								WBP2	Wbp2	22378	-0.816289	-0.816289	8.02716e-05	1.0	False	True
2356								FPGS	Fpgs	14287	-0.49876	-0.49876	0.0149861	1.0	False	True
23560								GTPBP4	Gtpbp4	69237	0.315757	0.315757	0.00738138	1.0	False	True
23564								DDAH2	Ddah2	51793	-0.601208	-0.601208	0.0212113	1.0	False	True
23567	ZNF346	Zfp346	26919	-0.538343	-0.538343	0.00100796	1.0								True	False
2357	FPR1	Fpr1	14293	0.603539	0.603539	7.71835e-10	1.0	FPR1	Fpr1	14293	0.454705	0.454705	7.44982e-06	1.0	True	True
2358	FPR2	Fpr2	14289	0.927586	0.927586	6.5918e-24	1.0	FPR2	Fpr2	14289	0.368191	0.368191	0.000281133	1.0	True	True
23580								CDC42EP4	Cdc42ep4	56699	-0.596489	-0.596489	1.38341e-05	1.0	False	True
23585	TMEM50A	Tmem50a	71817	0.297479	0.297479	0.00421354	1.0	TMEM50A	Tmem50a	71817	0.402089	0.402089	4.99735e-05	1.0	True	True
23587	ELP5	Elp5	54351	0.375546	0.375546	0.00313003	1.0								True	False
23589	CARHSP1	Carhsp1	52502	-0.258509	-0.258509	0.0353475	1.0	CARHSP1	Carhsp1	52502	-0.427602	-0.427602	0.000171412	1.0	True	True
23592								LEMD3	Lemd3	380664	-0.25302	-0.25302	0.0314051	1.0	False	True
23597	ACOT9	Acot9	56360	0.468039	0.468039	1.16065e-05	1.0	ACOT9	Acot9	56360	0.424209	0.424209	7.89579e-05	1.0	True	True
23601	CLEC5A	Clec5a	23845	0.575207	0.575207	0.000834673	1.0	CLEC5A	Clec5a	23845	0.457345	0.457345	0.0100929	1.0	True	True
23604	DAPK2	Dapk2	13143	-0.499828	-0.499828	0.00100277	1.0	DAPK2	Dapk2	13143	-0.542526	-0.542526	0.000256323	1.0	True	True
23607	CD2AP	Cd2ap	12488	-0.362886	-0.362886	0.0111216	1.0								True	False
23613	ZMYND8	Zmynd8	228880	-0.405872	-0.405872	0.00959469	1.0	ZMYND8	Zmynd8	228880	-0.363948	-0.363948	0.0232384	1.0	True	True
23616								SH3BP1	Sh3bp1	20401	-0.614753	-0.614753	0.0369764	1.0	False	True
23633								KPNA6	Kpna6	16650	-0.437677	-0.437677	0.0020385	1.0	False	True
23636								NUP62	Nup62	18226	-0.34085	-0.34085	0.0224863	1.0	False	True
23640	HSPBP1	Hspbp1	66245	0.397983	0.397983	0.0106582	1.0								True	False
23644								EDC4	Edc4	234699	-0.521211	-0.521211	0.00760424	1.0	False	True
23645	PPP1R15A	Ppp1r15a	17872	-0.636495	-0.636495	0.000366794	1.0	PPP1R15A	Ppp1r15a	17872	-0.643197	-0.643197	0.000306372	1.0	True	True
23646								PLD3	Pld3	18807	-0.461012	-0.461012	0.00797444	1.0	False	True
23648	SSBP3	Ssbp3	72475	-0.451547	-0.451547	0.00870213	1.0	SSBP3	Ssbp3	72475	-0.54772	-0.54772	0.00113127	1.0	True	True
23649	POLA2	Pola2	18969	-0.307628	-0.307628	0.032156	1.0	POLA2	Pola2	18969	-0.530297	-0.530297	7.31433e-05	1.0	True	True
23654								PLXNB2	Plxnb2	140570	-0.84314	-0.84314	0.00286135	1.0	False	True
23657	SLC7A11	Slc7a11	26570	0.990636	0.990636	0.000297428	1.0	SLC7A11	Slc7a11	26570	1.24044	1.24044	3.37476e-06	1.0	True	True
23658	LSM5	Lsm5	66373	0.643788	0.643788	1.23533e-05	1.0	LSM5	Lsm5	66373	0.469441	0.469441	0.00115994	1.0	True	True
23683								PRKD3	Prkd3	75292	0.350258	0.350258	6.31076e-05	1.0	False	True
23741	EID1	Eid1	58521	0.331373	0.331373	0.0215901	1.0								True	False
23753	SDF2L1	Sdf2l1	64136	0.609954	0.609954	0.000221464	1.0	SDF2L1	Sdf2l1	64136	0.537623	0.537623	0.00136263	1.0	True	True
23760								PITPNB	Pitpnb	56305	0.184312	0.184312	0.0220284	1.0	False	True
23770	FKBP8	Fkbp8	14232	0.305128	0.305128	0.00317061	1.0								True	False
23774								BRD1	Brd1	223770	-0.330113	-0.330113	0.0133605	1.0	False	True
23780	APOL2	Apol11a	626615	-2.1317	-1.464551	2.53484e-07	4.0	APOL2	Apol10a	245282	-0.970842	-0.918824	0.0115916	2.0	True	True
23787	MTCH1	Mtch1	56462	0.294897	0.294897	0.00217086	1.0								True	False
23788								MTCH2	Mtch2	56428	0.269627	0.269627	0.0407587	1.0	False	True
241	ALOX5AP	Alox5ap	11690	0.557308	0.557308	7.68384e-07	1.0	ALOX5AP	Alox5ap	11690	0.516104	0.516104	6.01327e-06	1.0	True	True
24137	KIF4A	Kif4	16571	-0.425086	-0.425086	1.55475e-05	1.0	KIF4A	Kif4	16571	-0.535867	-0.535867	2.45645e-08	1.0	True	True
24142								NAA80	Naa80	56441	-0.744844	-0.744844	0.000682985	1.0	False	True
24146	CLDN15	Cldn15	60363	0.547741	0.547741	1.34926e-05	1.0	CLDN15	Cldn15	60363	0.451057	0.451057	0.000483696	1.0	True	True
245802	MS4A6E	Ms4a6d	68774	0.941407	0.6407123333333333	7.34373e-06	3.0	MS4A6E	Ms4a6d	68774	0.536926	0.4580823333333333	0.0166777	3.0	True	True
246	ALOX15	Alox15	11687	0.91203	0.91203	0.000580877	1.0								True	False
246243	RNASEH1	Rnaseh1	19819	0.417245	0.417245	0.00796159	1.0								True	False
246721								POLR2J2	Polr2j	20022	0.387318	0.387318	0.00809173	1.0	False	True
2475								MTOR	Mtor	56717	-0.711158	-0.711158	5.27363e-05	1.0	False	True
249	ALPL	Alpl	11647	-1.08639	-1.08639	0.00085245	1.0	ALPL	Alpl	11647	-1.1417	-1.1417	0.00178821	1.0	True	True
2512	FTL	Ftl1	14325	0.435685	0.435685	0.000518812	1.0	FTL	Ftl1	14325	0.328266	0.328266	0.0121025	1.0	True	True
2519	FUCA2	Fuca2	66848	0.51079	0.51079	1.9174e-05	1.0								True	False
2521								FUS	Fus	233908	-0.418815	-0.418815	0.0203269	1.0	False	True
2526	FUT4	Fut4	14345	0.424355	0.424355	0.0179946	1.0								True	False
252839								TMEM9	Tmem9	66241	-0.432931	-0.432931	0.0249197	1.0	False	True
252983	STXBP4	Stxbp4	20913	-0.607277	-0.607277	0.00729619	1.0	STXBP4	Stxbp4	20913	-0.71153	-0.71153	0.000989432	1.0	True	True
2530	FUT8	Fut8	53618	0.24809	0.24809	0.0299768	1.0								True	False
253012								HEPACAM2	Hepacam2	101202	0.892723	0.892723	0.0144617	1.0	False	True
2531	KDSR	Kdsr	70750	0.258797	0.258797	0.0173615	1.0								True	False
2532	ACKR1	Ackr1	13349	-0.867196	-0.867196	3.13427e-07	1.0	ACKR1	Ackr1	13349	-1.07245	-1.07245	7.47549e-11	1.0	True	True
253461								ZBTB38	Zbtb38	245007	0.222576	0.222576	0.0346283	1.0	False	True
253782								CERS6	Cers6	241447	0.373181	0.373181	0.0314051	1.0	False	True
253832								ZDHHC20	Zdhhc20	75965	0.424998	0.424998	0.00252745	1.0	False	True
253943								YTHDF3	Ythdf3	229096	0.229423	0.229423	0.0494656	1.0	False	True
254048	UBN2	Ubn2	320538	-0.481431	-0.481431	0.00385214	1.0								True	False
254102	EHBP1L1	Ehbp1l1	114601	-0.374825	-0.374825	0.00764883	1.0	EHBP1L1	Ehbp1l1	114601	-0.66188	-0.66188	4.39386e-07	1.0	True	True
254122	SNX32	Snx32	225861	-0.512219	-0.512219	0.0133572	1.0	SNX32	Snx32	225861	-0.506515	-0.506515	0.0117122	1.0	True	True
254170	FBXO33	Fbxo33	70611	0.254712	0.254712	0.036905	1.0								True	False
254359	ZDHHC24	Zdhhc24	70605	-0.570281	-0.570281	7.16787e-05	1.0	ZDHHC24	Zdhhc24	70605	-0.75036	-0.75036	1.349e-07	1.0	True	True
254394	MCM9	Mcm9	71567	-0.308271	-0.308271	0.020117	1.0								True	False
254427	PROSER2	Proser2	227545	-0.795646	-0.795646	0.0319634	1.0	PROSER2	Proser2	227545	-0.76789	-0.76789	0.0355577	1.0	True	True
254531								LPCAT4	Lpcat4	99010	-0.509424	-0.509424	0.0164644	1.0	False	True
254552	NUDT8	Nudt8	66387	0.448451	0.448451	0.0358755	1.0								True	False
2547	XRCC6	Xrcc6	14375	-0.445545	-0.445545	0.000907018	1.0								True	False
2548								GAA	Gaa	14387	-0.638242	-0.638242	0.0122193	1.0	False	True
254863	TMEM256	Tmem256	69186	0.382423	0.382423	0.0440543	1.0								True	False
2549	GAB1	Gab1	14388	-0.59862	-0.59862	0.00210345	1.0	GAB1	Gab1	14388	-0.637148	-0.637148	0.00112223	1.0	True	True
255043	TMEM86B	Tmem86b	68255	-0.668208	-0.668208	5.4969e-07	1.0	TMEM86B	Tmem86b	68255	-0.779907	-0.779907	2.25178e-09	1.0	True	True
255308	EIF2S3B	Eif2s3y	26908	0.343688	0.343688	0.0274708	1.0								True	False
255394								TCP11L2	Tcp11l2	216198	-0.54341	-0.54341	0.00542349	1.0	False	True
255403	ZNF718	Zfp958	233987	0.366215	0.366215	0.0492027	1.0								True	False
255488	RNF144B	Rnf144b	218215	0.453843	0.453843	0.00032043	1.0	RNF144B	Rnf144b	218215	0.36033	0.36033	0.00595401	1.0	True	True
255649									Oosp1	170834	1.11935	1.11935	0.00205247	1.0	False	True
255758	DYNLT2B	Dynlt2b	66061	0.769773	0.769773	1.89774e-06	1.0	DYNLT2B	Dynlt2b	66061	0.369693	0.369693	0.0306139	1.0	True	True
255783								INAFM1	Inafm1	66300	-0.415898	-0.415898	0.0118503	1.0	False	True
255809	C19orf38	AB124611	382062	0.497761	0.497761	2.45745e-05	1.0	C19orf38	AB124611	382062	0.343753	0.343753	0.00565859	1.0	True	True
255928	SYT14	Syt14	329324	-1.2072	-1.2072	1.52473e-05	1.0	SYT14	Syt14	329324	-0.755734	-0.755734	0.00285476	1.0	True	True
256281	NUDT14	Nudt14	66174	0.457689	0.457689	0.0248154	1.0								True	False
256302	NATD1	Natd1	24083	-0.537415	-0.537415	0.00116296	1.0	NATD1	Natd1	24083	-1.01477	-1.01477	1.03956e-10	1.0	True	True
256364								EML3	Eml3	225898	-0.53889	-0.53889	3.48314e-05	1.0	False	True
256394	SERPINA11	Serpina11	380780	0.93784	0.93784	0.0382799	1.0								True	False
256987	SERINC5	Serinc5	218442	-0.711615	-0.711615	2.43049e-08	1.0	SERINC5	Serinc5	218442	-0.55951	-0.55951	2.06836e-05	1.0	True	True
257000	TINCR	Tincr	100504425	-0.900828	-0.900828	0.0463571	1.0								True	False
257068								PLCXD2	Plcxd2	433022	0.50964	0.50964	0.00291005	1.0	False	True
257160	RNF214	Rnf214	235315	-0.386148	-0.386148	0.0320337	1.0								True	False
257397	TAB3	Tab3	66724	-0.383903	-0.383903	0.0394702	1.0								True	False
25759								SHC2	Shc2	216148	-1.41371	-1.41371	0.035869	1.0	False	True
25764	HYPK	Hypk	67693	0.409151	0.409151	0.0347949	1.0								True	False
25766	PRPF40B	Prpf40b	54614	-0.896533	-0.896533	0.0392274	1.0								True	False
25776								CBY1	Cby1	73739	0.319824	0.319824	0.0435742	1.0	False	True
25792								CIZ1	Ciz1	68379	-0.351595	-0.351595	0.0442919	1.0	False	True
25793	FBXO7	Fbxo7	69754	-0.411537	-0.411537	0.00297266	1.0	FBXO7	Fbxo7	69754	-0.591121	-0.591121	6.31544e-06	1.0	True	True
25801								GCA	Gca	227960	0.365919	0.365919	0.0198104	1.0	False	True
25804	LSM4	Lsm4	50783	0.337269	0.337269	0.0296217	1.0								True	False
25814	ATXN10	Atxn10	54138	0.437889	0.437889	0.00730406	1.0								True	False
25816	TNFAIP8	Tnfaip8	106869	0.353715	0.353715	7.3005e-05	1.0	TNFAIP8	Tnfaip8	106869	0.34763	0.34763	0.000105472	1.0	True	True
25824	PRDX5	Prdx5	54683	0.722055	0.722055	6.90442e-10	1.0	PRDX5	Prdx5	54683	0.431378	0.431378	0.00048494	1.0	True	True
25828	TXN2	Txn2	56551	0.242647	0.242647	0.0301931	1.0								True	False
25829								TMEM184B	Tmem184b	223693	-0.824894	-0.824894	0.00410689	1.0	False	True
25836	NIPBL	Nipbl	71175	-0.221655	-0.221655	0.0363416	1.0								True	False
2584	GALK1	Galk1	14635	0.58917	0.58917	0.00258543	1.0								True	False
25840	METTL7A	Mettl7a1	70152	-0.467506	-0.467506	0.00103519	1.0	METTL7A	Mettl7a1	70152	-0.304038	-0.304038	0.0434212	1.0	True	True
25841								ABTB2	Abtb2	99382	-0.538829	-0.538829	0.0191856	1.0	False	True
25847	ANAPC13	Anapc13	69010	0.363975	0.363975	0.00313003	1.0	ANAPC13	Anapc13	69010	0.353851	0.353851	0.00326327	1.0	True	True
2585	GALK2	Galk2	69976	0.255358	0.255358	0.0179743	1.0								True	False
25861	WHRN	Whrn	73750	-0.896431	-0.896431	0.0377431	1.0								True	False
25862	USP49	Usp49	224836	-0.838838	-0.838838	4.35025e-07	1.0	USP49	Usp49	224836	-0.783119	-0.783119	3.08689e-06	1.0	True	True
25873	RPL36	Rpl36	54217	0.451584	0.451584	0.00914825	1.0	RPL36	Rpl36	54217	0.44609	0.44609	0.00980509	1.0	True	True
25874	MPC2	Mpc2	70456	0.502487	0.502487	0.0011763	1.0								True	False
25875	LETMD1	Letmd1	68614	-0.289147	-0.289147	0.018202	1.0								True	False
25876	SPEF1	Spef1	70997	-0.606655	-0.606655	0.004751	1.0	SPEF1	Spef1	70997	-0.71769	-0.71769	0.00214123	1.0	True	True
25879	DCAF13	Dcaf13	223499	0.327569	0.327569	0.00311144	1.0	DCAF13	Dcaf13	223499	0.299877	0.299877	0.00643399	1.0	True	True
25880	TMEM186	Tmem186	66690	-0.286014	-0.286014	0.00495107	1.0								True	False
25890								ABI3BP	Abi3bp	320712	-1.15877	-1.15877	0.0220644	1.0	False	True
25893	TRIM58	Trim58	216781	-0.911092	-0.911092	7.73403e-06	1.0	TRIM58	Trim58	216781	-0.903722	-0.903722	9.60238e-06	1.0	True	True
25896	INTS7	Ints7	77065	-0.368881	-0.368881	0.0015056	1.0	INTS7	Ints7	77065	-0.420959	-0.420959	0.000267791	1.0	True	True
25897								RNF19A	Rnf19a	30945	-0.220144	-0.220144	0.0287959	1.0	False	True
25900								IFFO1	Iffo1	320678	-0.371689	-0.371689	0.0435742	1.0	False	True
25909								AHCTF1	Ahctf1	226747	-0.36649	-0.36649	0.00403375	1.0	False	True
25911	DPCD	Dpcd	226162	0.402206	0.402206	0.0316561	1.0								True	False
25912	C1orf43	4933434E20Rik	99650	0.327624	0.327624	0.0410673	1.0								True	False
25921								ZDHHC5	Zdhhc5	228136	-0.316948	-0.316948	0.00375314	1.0	False	True
259249	MRGPRX1	Mrgpra2b	235712	0.498762	0.498762	0.00918752	1.0								True	False
25925	ZNF521	Zfp521	225207	-1.05236	-1.05236	0.0100275	1.0								True	False
259266	ASPM	Aspm	12316	-0.447042	-0.447042	0.00427935	1.0	ASPM	Aspm	12316	-0.524251	-0.524251	0.000570081	1.0	True	True
259308	FAM205A	Fam205a1	433698	-1.11801	-1.11801	0.0409577	1.0	FAM205A	Fam205a1	433698	-1.15513	-1.15513	0.00511442	1.0	True	True
25932	CLIC4	Clic4	29876	-0.500722	-0.500722	0.000452851	1.0	CLIC4	Clic4	29876	-0.467357	-0.467357	0.00121152	1.0	True	True
25934	NIPSNAP3A	Nipsnap3b	66536	0.371326	0.371326	0.00271768	1.0								True	False
25936								NSL1	Nsl1	381318	-0.344153	-0.344153	0.0146335	1.0	False	True
25941								TPGS2	Tpgs2	66648	0.339289	0.339289	0.0351229	1.0	False	True
25945								NECTIN3	Nectin3	58998	-1.03341	-1.03341	0.0406849	1.0	False	True
25946								ZNF385A	Zfp385a	29813	-1.384	-1.384	1.90873e-05	1.0	False	True
25957	PNISR	Pnisr	66625	-0.408756	-0.408756	0.00475087	1.0								True	False
25959								KANK2	Kank2	235041	-0.944139	-0.944139	0.0019863	1.0	False	True
25961	NUDT13	Nudt13	67725	-0.620389	-0.620389	0.00594815	1.0								True	False
2597	GAPDH	Gapdh	14433	0.543343	0.543343	0.000416873	1.0								True	False
25972	UNC50	Unc50	67387	0.387706	0.387706	0.0100314	1.0								True	False
25975	EGFL6	Egfl6	54156	-1.28057	-1.28057	0.0168569	1.0								True	False
25976								TIPARP	Tiparp	99929	0.380987	0.380987	0.0139327	1.0	False	True
25977								NECAP1	Necap1	67602	0.223969	0.223969	0.0408646	1.0	False	True
25978	CHMP2B	Chmp2b	68942	0.25224	0.25224	0.0178963	1.0	CHMP2B	Chmp2b	68942	0.308183	0.308183	0.00221193	1.0	True	True
25979	DHRS7B	Dhrs7b	216820	0.494636	0.494636	0.000841333	1.0								True	False
25983	NGDN	Ngdn	68966	0.464367	0.464367	0.000435826	1.0								True	False
25988	HINFP	Hinfp	102423	-0.450221	-0.450221	0.00372943	1.0								True	False
25992	SNED1	Sned1	208777	-0.760551	-0.760551	0.0332064	1.0								True	False
25998	IBTK	Ibtk	108837	-0.380412	-0.380412	0.000693583	1.0	IBTK	Ibtk	108837	-0.322677	-0.322677	0.00480794	1.0	True	True
26000								TBC1D10B	Tbc1d10b	68449	-0.572787	-0.572787	0.000332415	1.0	False	True
26005	C2CD3	C2cd3	277939	-0.330593	-0.330593	0.0390614	1.0	C2CD3	C2cd3	277939	-0.328256	-0.328256	0.0434212	1.0	True	True
26011	TENM4	Tenm4	23966	-1.27551	-1.27551	0.0191696	1.0	TENM4	Tenm4	23966	-1.14433	-1.14433	0.042854	1.0	True	True
26017	FAM32A	Fam32a	67922	0.36163	0.36163	0.00159882	1.0	FAM32A	Fam32a	67922	0.251192	0.251192	0.0370502	1.0	True	True
26018								LRIG1	Lrig1	16206	-0.735162	-0.735162	0.00574347	1.0	False	True
26020								LRP10	Lrp10	65107	-0.914658	-0.914658	7.00627e-06	1.0	False	True
26024								PTCD1	Ptcd1	71799	-0.392492	-0.392492	0.0116554	1.0	False	True
26034	IPCEF1	Ipcef1	320495	0.368203	0.368203	0.00496294	1.0	IPCEF1	Ipcef1	320495	0.470607	0.470607	0.000193664	1.0	True	True
26043	UBXN7	Ubxn7	224111	-0.351335	-0.351335	0.00180413	1.0								True	False
26060								APPL1	Appl1	72993	0.353222	0.353222	0.0448142	1.0	False	True
26063								DECR2	Decr2	26378	0.35817	0.35817	0.0400782	1.0	False	True
26088								GGA1	Gga1	106039	-0.527943	-0.527943	0.00873289	1.0	False	True
26093								CCDC9	Ccdc9	243846	-0.557638	-0.557638	0.00466557	1.0	False	True
26099	SZRD1	Szrd1	213491	0.217862	0.217862	0.0184161	1.0								True	False
26100	WIPI2	Wipi2	74781	-0.400812	-0.400812	2.08471e-06	1.0	WIPI2	Wipi2	74781	-0.293313	-0.293313	0.000800826	1.0	True	True
26112								CCDC69	Ccdc69	52570	0.388887	0.388887	0.0045248	1.0	False	True
26130	GAPVD1	Gapvd1	66691	-0.392057	-0.392057	1.48526e-06	1.0	GAPVD1	Gapvd1	66691	-0.270502	-0.270502	0.00154431	1.0	True	True
26135	SERBP1	Serbp1	66870	0.260945	0.260945	0.0296217	1.0								True	False
26136	TES	Tes	21753	0.357292	0.357292	0.00407008	1.0	TES	Tes	21753	0.411453	0.411453	0.000679795	1.0	True	True
26145								IRF2BP1	Irf2bp1	272359	-0.697556	-0.697556	6.89536e-05	1.0	False	True
