sym,rhsa,pwLabel
IL6R,R-HSA-1059683,Interleukin-6 signaling
IL6,R-HSA-1059683,Interleukin-6 signaling
FGF2,R-HSA-109704,PI3K Cascade
PIK3CA,R-HSA-109704,PI3K Cascade
IL6R,R-HSA-110056,MAPK3 (ERK1) activation
IL6,R-HSA-110056,MAPK3 (ERK1) activation
REV3L,R-HSA-110312,Translesion synthesis by REV1
H2AX,R-HSA-110328,Recognition and association of DNA glycosylase with site containing an affected pyrimidine
H2AX,R-HSA-110329,Cleavage of the damaged pyrimidine 
H2AX,R-HSA-110330,Recognition and association of DNA glycosylase with site containing an affected purine
H2AX,R-HSA-110331,Cleavage of the damaged purine
BCL2L11,R-HSA-111446,Activation of BIM and translocation to mitochondria 
TP53,R-HSA-111448,Activation of NOXA and translocation to mitochondria
BCL2L11,R-HSA-111453,BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members
BAX,R-HSA-111457,Release of apoptotic factors from the mitochondria
CASP3,R-HSA-111459,Activation of caspases through apoptosome-mediated cleavage
CASP3,R-HSA-111463,SMAC (DIABLO) binds to IAPs 
CASP3,R-HSA-111464,SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes 
CASP3,R-HSA-111465,Apoptotic cleavage of cellular proteins
CASP3,R-HSA-111469,"SMAC, XIAP-regulated apoptotic response"
OPRM1,R-HSA-111885,Opioid Signalling
SLC22A1,R-HSA-112311,Neurotransmitter clearance
PIK3CA,R-HSA-112399,IRS-mediated signalling
IL6R,R-HSA-112411,MAPK1 (ERK2) activation
IL6,R-HSA-112411,MAPK1 (ERK2) activation
BAX,R-HSA-114294,"Activation, translocation and oligomerization of BAX"
COL1A1,R-HSA-114604,GPVI-mediated activation cascade
PIK3CA,R-HSA-114604,GPVI-mediated activation cascade
SERPINE1,R-HSA-114608,Platelet degranulation 
TGFB1,R-HSA-114608,Platelet degranulation 
TIMP1,R-HSA-114608,Platelet degranulation 
EGF,R-HSA-114608,Platelet degranulation 
HGF,R-HSA-114608,Platelet degranulation 
SELP,R-HSA-114608,Platelet degranulation 
FOXO3,R-HSA-1181150,Signaling by NODAL
H2AX,R-HSA-1221632,Meiotic synapsis
EGF,R-HSA-1227986,Signaling by ERBB2
SRC,R-HSA-1227986,Signaling by ERBB2
HIF1A,R-HSA-1234158,Regulation of gene expression by Hypoxia-inducible Factor
HIF1A,R-HSA-1234174,Cellular response to hypoxia
HIF1A,R-HSA-1234176,Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha
EGF,R-HSA-1236382,Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants
PIK3CA,R-HSA-1236382,Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants
EGF,R-HSA-1236394,Signaling by ERBB4
EGF,R-HSA-1250196,SHC1 events in ERBB2 signaling
PIK3CA,R-HSA-1250342,PI3K events in ERBB4 signaling
EGF,R-HSA-1251932,PLCG1 events in ERBB2 signaling
ESR1,R-HSA-1251985,Nuclear signaling by ERBB4
PGR,R-HSA-1251985,Nuclear signaling by ERBB4
SRC,R-HSA-1251985,Nuclear signaling by ERBB4
SRC,R-HSA-1253288,Downregulation of ERBB4 signaling
ESR1,R-HSA-1257604,PIP3 activates AKT signaling
EGF,R-HSA-1257604,PIP3 activates AKT signaling
HGF,R-HSA-1257604,PIP3 activates AKT signaling
FGF2,R-HSA-1257604,PIP3 activates AKT signaling
SRC,R-HSA-1257604,PIP3 activates AKT signaling
PIK3CA,R-HSA-1257604,PIP3 activates AKT signaling
ESR2,R-HSA-1257604,PIP3 activates AKT signaling
HGF,R-HSA-1266695,Interleukin-7 signaling
SRC,R-HSA-1295596,Spry regulation of FGF signaling
MYC,R-HSA-1362277,Transcription of E2F targets under negative control by DREAM complex
SERPINE1,R-HSA-1368108,"BMAL1:CLOCK,NPAS2 activates circadian expression"
RXRA,R-HSA-1368108,"BMAL1:CLOCK,NPAS2 activates circadian expression"
PPARA,R-HSA-1368108,"BMAL1:CLOCK,NPAS2 activates circadian expression"
TP53,R-HSA-139915,Activation of PUMA and translocation to mitochondria
CASP3,R-HSA-140342,Apoptosis induced DNA fragmentation
FAS,R-HSA-140534,Caspase activation via Death Receptors in the presence of ligand
F3,R-HSA-140834,Extrinsic Pathway of Fibrin Clot Formation
THBD,R-HSA-140875,Common Pathway of Fibrin Clot Formation
SRC,R-HSA-1433557,Signaling by SCF-KIT
MMP9,R-HSA-1433557,Signaling by SCF-KIT
PIK3CA,R-HSA-1433557,Signaling by SCF-KIT
SRC,R-HSA-1433559,Regulation of KIT signaling
MMP1,R-HSA-1442490,Collagen degradation
COL4A1,R-HSA-1442490,Collagen degradation
COL3A1,R-HSA-1442490,Collagen degradation
COL1A1,R-HSA-1442490,Collagen degradation
MMP3,R-HSA-1442490,Collagen degradation
MMP10,R-HSA-1442490,Collagen degradation
MMP9,R-HSA-1442490,Collagen degradation
MMP1,R-HSA-1474228,Degradation of the extracellular matrix
MMP3,R-HSA-1474228,Degradation of the extracellular matrix
DCN,R-HSA-1474228,Degradation of the extracellular matrix
MMP10,R-HSA-1474228,Degradation of the extracellular matrix
MMP9,R-HSA-1474228,Degradation of the extracellular matrix
CASP3,R-HSA-1474228,Degradation of the extracellular matrix
CYP1A2,R-HSA-156581,Methylation
UGT1A1,R-HSA-156588,Glucuronidation
GSTA2,R-HSA-156590,Glutathione conjugation
COL3A1,R-HSA-1566977,Fibronectin matrix formation
COL4A1,R-HSA-1566977,Fibronectin matrix formation
COL1A1,R-HSA-1566977,Fibronectin matrix formation
TIMP1,R-HSA-1592389,Activation of Matrix Metalloproteinases
MMP1,R-HSA-1592389,Activation of Matrix Metalloproteinases
MMP3,R-HSA-1592389,Activation of Matrix Metalloproteinases
MMP10,R-HSA-1592389,Activation of Matrix Metalloproteinases
MMP9,R-HSA-1592389,Activation of Matrix Metalloproteinases
ABCB11,R-HSA-159418,Recycling of bile acids and salts
ABCC3,R-HSA-159418,Recycling of bile acids and salts
RXRA,R-HSA-159418,Recycling of bile acids and salts
NR1H4,R-HSA-159418,Recycling of bile acids and salts
SLCO1B1,R-HSA-159418,Recycling of bile acids and salts
PLAUR,R-HSA-162791,Attachment of GPI anchor to uPAR
PRKAA1,R-HSA-1632852,Macroautophagy
FABP1,R-HSA-163560,Triglyceride catabolism
FASN,R-HSA-163765,ChREBP activates metabolic gene expression
COL1A1,R-HSA-1650814,Collagen biosynthesis and modifying enzymes
COL3A1,R-HSA-1650814,Collagen biosynthesis and modifying enzymes
COL4A1,R-HSA-1650814,Collagen biosynthesis and modifying enzymes
SREBF1,R-HSA-1655829,Regulation of cholesterol biosynthesis by SREBP (SREBF)
PIK3CA,R-HSA-1660499,Synthesis of PIPs at the plasma membrane
PTEN,R-HSA-1660499,Synthesis of PIPs at the plasma membrane
ABCG2,R-HSA-1660661,Sphingolipid de novo biosynthesis
TGFB1,R-HSA-168277,Influenza Virus Induced Apoptosis
HSPA1A,R-HSA-168330,Viral RNP Complexes in the Host Cell Nucleus
SRC,R-HSA-171007,p38MAPK events
H2AX,R-HSA-171306,Packaging Of Telomere Ends
EGF,R-HSA-177929,Signaling by EGFR
SRC,R-HSA-177929,Signaling by EGFR
EGF,R-HSA-179812,GRB2 events in EGFR signaling
EGF,R-HSA-180292,GAB1 signalosome
SRC,R-HSA-180292,GAB1 signalosome
PIK3CA,R-HSA-180292,GAB1 signalosome
EGF,R-HSA-180336,SHC1 events in EGFR signaling
SLC22A1,R-HSA-181430,Norepinephrine Neurotransmitter Release Cycle
EGF,R-HSA-182971,EGFR downregulation
PIK3CA,R-HSA-1839117,Signaling by cytosolic FGFR1 fusion mutants
FGF2,R-HSA-1839122,Signaling by activated point mutants of FGFR1
FGF2,R-HSA-1839130,Signaling by activated point mutants of FGFR3
PTEN,R-HSA-1855204,Synthesis of IP3 and IP4 in the cytosol
SRC,R-HSA-186763,Downstream signal transduction
PIK3CA,R-HSA-186763,Downstream signal transduction
PLAT,R-HSA-186797,Signaling by PDGF
COL3A1,R-HSA-186797,Signaling by PDGF
COL4A1,R-HSA-186797,Signaling by PDGF
ADORA2A,R-HSA-187024,NGF-independant TRKA activation
CCND1,R-HSA-187577,SCF(Skp2)-mediated degradation of p27/p21
CDKN1A,R-HSA-187577,SCF(Skp2)-mediated degradation of p27/p21
ABCG2,R-HSA-189451,Heme biosynthesis
FABP1,R-HSA-189483,Heme degradation
UGT1A1,R-HSA-189483,Heme degradation
SLCO1B1,R-HSA-189483,Heme degradation
ABCG2,R-HSA-189483,Heme degradation
FGF2,R-HSA-190322,FGFR4 ligand binding and activation
FGF2,R-HSA-190370,FGFR1b ligand binding and activation
FGF2,R-HSA-190372,FGFR3c ligand binding and activation
FGF2,R-HSA-190373,FGFR1c ligand binding and activation
FGF2,R-HSA-190375,FGFR2c ligand binding and activation
FGF2,R-HSA-190377,FGFR2b ligand binding and activation
TP53,R-HSA-1912408,Pre-NOTCH Transcription and Translation
JUN,R-HSA-1912408,Pre-NOTCH Transcription and Translation
CCND1,R-HSA-1912408,Pre-NOTCH Transcription and Translation
H2AX,R-HSA-1912408,Pre-NOTCH Transcription and Translation
SREBF1,R-HSA-191273,Cholesterol biosynthesis
SRC,R-HSA-191650,Regulation of gap junction activity
RXRA,R-HSA-192105,Synthesis of bile acids and bile salts
NR1H4,R-HSA-192105,Synthesis of bile acids and bile salts
CYP19A1,R-HSA-193144,Estrogen biosynthesis
ABCB11,R-HSA-193368,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol
RXRA,R-HSA-193368,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol
NR1H4,R-HSA-193368,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol
BCL2L11,R-HSA-193648,NRAGE signals death through JNK
RXRA,R-HSA-193807,Synthesis of bile acids and bile salts via 27-hydroxycholesterol
NR1H4,R-HSA-193807,Synthesis of bile acids and bile salts via 27-hydroxycholesterol
KDR,R-HSA-194306,Neurophilin interactions with VEGF and VEGFR
KDR,R-HSA-195399,VEGF binds to VEGFR leading to receptor dimerization
TSPO,R-HSA-196108,Pregnenolone biosynthesis
EGF,R-HSA-1963640,GRB2 events in ERBB2 signaling
EGF,R-HSA-1963642,PI3K events in ERBB2 signaling
PIK3CA,R-HSA-1963642,PI3K events in ERBB2 signaling
VDR,R-HSA-196791,Vitamin D (calciferol) metabolism
CYP24A1,R-HSA-196791,Vitamin D (calciferol) metabolism
CD38,R-HSA-196807,Nicotinate metabolism
DCN,R-HSA-1971475,Glycosaminoglycan-protein linkage region biosynthesis
PIK3CA,R-HSA-198203,PI3K/AKT activation
CDKN1A,R-HSA-198323,AKT phosphorylates targets in the cytosol
FOXO3,R-HSA-198693,AKT phosphorylates targets in the nucleus
FOXO1,R-HSA-198693,AKT phosphorylates targets in the nucleus
COL3A1,R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
COL1A1,R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
ICAM1,R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
CD40,R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
VCAM1,R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
CYP1A1,R-HSA-1989781,PPARA activates gene expression
ESRRA,R-HSA-1989781,PPARA activates gene expression
SP1,R-HSA-1989781,PPARA activates gene expression
FABP1,R-HSA-1989781,PPARA activates gene expression
AHR,R-HSA-1989781,PPARA activates gene expression
RXRB,R-HSA-1989781,PPARA activates gene expression
RXRA,R-HSA-1989781,PPARA activates gene expression
SREBF1,R-HSA-1989781,PPARA activates gene expression
PPARG,R-HSA-1989781,PPARA activates gene expression
RORA,R-HSA-1989781,PPARA activates gene expression
NRF1,R-HSA-1989781,PPARA activates gene expression
NR1H4,R-HSA-1989781,PPARA activates gene expression
HMGCS2,R-HSA-1989781,PPARA activates gene expression
PPARA,R-HSA-1989781,PPARA activates gene expression
ACOX1,R-HSA-1989781,PPARA activates gene expression
FASN,R-HSA-199220,Vitamin B5 (pantothenate) metabolism
PTEN,R-HSA-199418,Negative regulation of the PI3K/AKT network
RXRA,R-HSA-200425,Carnitine shuttle
PPARD,R-HSA-200425,Carnitine shuttle
MYC,R-HSA-201556,Signaling by ALK
SRC,R-HSA-201556,Signaling by ALK
PIK3CA,R-HSA-201556,Signaling by ALK
H2AX,R-HSA-201722,Formation of the beta-catenin:TCF transactivating complex
OPRM1,R-HSA-202040,G-protein activation
COL4A1,R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures
COL3A1,R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures
COL1A1,R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures
MMP3,R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures
MMP9,R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures
DCN,R-HSA-2022870,CS-GAG biosynthesis
DCN,R-HSA-2022923,DS-GAG biosynthesis
DCN,R-HSA-2024101,CS/DS degradation
HLA-DRA,R-HSA-202424,Downstream TCR signaling
PTEN,R-HSA-202424,Downstream TCR signaling
PIK3CA,R-HSA-202424,Downstream TCR signaling
HLA-DRA,R-HSA-202427,Phosphorylation of CD3 and TCR zeta chains
HLA-DRA,R-HSA-202430,Translocation of ZAP-70 to Immunological synapse
HLA-DRA,R-HSA-202433,Generation of second messenger molecules
DUSP3,R-HSA-202670,ERKs are inactivated
TGFB1,R-HSA-202733,Cell surface interactions at the vascular wall
COL1A1,R-HSA-202733,Cell surface interactions at the vascular wall
THBD,R-HSA-202733,Cell surface interactions at the vascular wall
SELP,R-HSA-202733,Cell surface interactions at the vascular wall
SELE,R-HSA-202733,Cell surface interactions at the vascular wall
CASP3,R-HSA-2028269,Signaling by Hippo
SRC,R-HSA-2029481,FCGR activation
PIK3CA,R-HSA-2029485,Role of phospholipids in phagocytosis
FGF2,R-HSA-2033519,Activated point mutants of FGFR2
PDK4,R-HSA-204174,Regulation of pyruvate dehydrogenase (PDH) complex
ACOX1,R-HSA-2046106,alpha-linolenic acid (ALA) metabolism
CASP3,R-HSA-205025,NADE modulates death signalling
PAX6,R-HSA-210745,Regulation of gene expression in beta cells
FOXO1,R-HSA-210745,Regulation of gene expression in beta cells
HNF4A,R-HSA-210745,Regulation of gene expression in beta cells
SRC,R-HSA-210990,PECAM1 interactions
MMP1,R-HSA-210991,Basigin interactions
PIK3CA,R-HSA-210993,Tie2 Signaling
FOXO1,R-HSA-211163,AKT-mediated inactivation of FOXO1A
CASP3,R-HSA-211736,Stimulation of the cell death response by PAK-2p34
CYP24A1,R-HSA-211916,Vitamins
CYP2B6,R-HSA-211935,Fatty acids
CYP2J2,R-HSA-211935,Fatty acids
CYP3A4,R-HSA-211945,Phase I - Functionalization of compounds
CYP2B6,R-HSA-211945,Phase I - Functionalization of compounds
AHR,R-HSA-211945,Phase I - Functionalization of compounds
CYP1A2,R-HSA-211957,Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2
CYP19A1,R-HSA-211976,Endogenous sterols
RXRA,R-HSA-211976,Endogenous sterols
AHR,R-HSA-211976,Endogenous sterols
NR1H4,R-HSA-211976,Endogenous sterols
CYP1A1,R-HSA-211981,Xenobiotics
CYP3A4,R-HSA-211981,Xenobiotics
CYP2C9,R-HSA-211981,Xenobiotics
CYP2E1,R-HSA-211981,Xenobiotics
AHR,R-HSA-211981,Xenobiotics
CYP2B6,R-HSA-211981,Xenobiotics
CYP2C19,R-HSA-211981,Xenobiotics
CYP2C18,R-HSA-211981,Xenobiotics
CYP2J2,R-HSA-211981,Xenobiotics
CYP2C9,R-HSA-211999,CYP2E1 reactions
CYP2E1,R-HSA-211999,CYP2E1 reactions
CYP2C19,R-HSA-211999,CYP2E1 reactions
CYP2B6,R-HSA-211999,CYP2E1 reactions
MYC,R-HSA-2122947,NOTCH1 Intracellular Domain Regulates Transcription
HIF1A,R-HSA-2122947,NOTCH1 Intracellular Domain Regulates Transcription
H2AX,R-HSA-212300,PRC2 methylates histones and DNA
EGF,R-HSA-212718,EGFR interacts with phospholipase C-gamma
TGFB1,R-HSA-2129379,Molecules associated with elastic fibres
HLA-DRA,R-HSA-2132295,MHC class II antigen presentation
CYP1A2,R-HSA-2142670,Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET)
CYP1A1,R-HSA-2142670,Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET)
CYP2C9,R-HSA-2142670,Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET)
CYP2C19,R-HSA-2142670,Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET)
CYP2J2,R-HSA-2142670,Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET)
CYP1A1,R-HSA-2142816,Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)
CYP1A2,R-HSA-2142816,Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)
CYP2C9,R-HSA-2142816,Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)
CYP2C19,R-HSA-2142816,Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)
ESRRA,R-HSA-2151201,Transcriptional activation of mitochondrial biogenesis
RXRA,R-HSA-2151201,Transcriptional activation of mitochondrial biogenesis
SIRT3,R-HSA-2151201,Transcriptional activation of mitochondrial biogenesis
PPARA,R-HSA-2151201,Transcriptional activation of mitochondrial biogenesis
NRF1,R-HSA-2151201,Transcriptional activation of mitochondrial biogenesis
COL3A1,R-HSA-216083,Integrin cell surface interactions
COL1A1,R-HSA-216083,Integrin cell surface interactions
COL4A1,R-HSA-216083,Integrin cell surface interactions
ICAM1,R-HSA-216083,Integrin cell surface interactions
VCAM1,R-HSA-216083,Integrin cell surface interactions
KDR,R-HSA-216083,Integrin cell surface interactions
SLC22A1,R-HSA-2161517,Abacavir transmembrane transport
ABCG2,R-HSA-2161517,Abacavir transmembrane transport
TGFB1,R-HSA-2173788,Downregulation of TGF-beta receptor signaling
TGFB1,R-HSA-2173789,TGF-beta receptor signaling activates SMADs
TGFB1,R-HSA-2173791,TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)
SERPINE1,R-HSA-2173796,SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription
MYC,R-HSA-2173796,SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription
SP1,R-HSA-2173796,SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription
MMP3,R-HSA-2179392,EGFR Transactivation by Gastrin
COL4A1,R-HSA-2214320,Anchoring fibril formation
COL1A1,R-HSA-2214320,Anchoring fibril formation
ESR1,R-HSA-2219530,Constitutive Signaling by Aberrant PI3K in Cancer
EGF,R-HSA-2219530,Constitutive Signaling by Aberrant PI3K in Cancer
FGF2,R-HSA-2219530,Constitutive Signaling by Aberrant PI3K in Cancer
SRC,R-HSA-2219530,Constitutive Signaling by Aberrant PI3K in Cancer
HGF,R-HSA-2219530,Constitutive Signaling by Aberrant PI3K in Cancer
PIK3CA,R-HSA-2219530,Constitutive Signaling by Aberrant PI3K in Cancer
ESR2,R-HSA-2219530,Constitutive Signaling by Aberrant PI3K in Cancer
COL1A1,R-HSA-2243919,Crosslinking of collagen fibrils
COL4A1,R-HSA-2243919,Crosslinking of collagen fibrils
H2AX,R-HSA-2299718,Condensation of Prophase Chromosomes
PIK3CA,R-HSA-2424491,DAP12 signaling
SP1,R-HSA-2426168,Activation of gene expression by SREBF (SREBP)
RXRA,R-HSA-2426168,Activation of gene expression by SREBF (SREBP)
SREBF1,R-HSA-2426168,Activation of gene expression by SREBF (SREBP)
FASN,R-HSA-2426168,Activation of gene expression by SREBF (SREBP)
PPARA,R-HSA-2426168,Activation of gene expression by SREBF (SREBP)
FOS,R-HSA-2559580,Oxidative Stress Induced Senescence
TP53,R-HSA-2559580,Oxidative Stress Induced Senescence
JUN,R-HSA-2559580,Oxidative Stress Induced Senescence
H2AX,R-HSA-2559580,Oxidative Stress Induced Senescence
FOS,R-HSA-2559582,Senescence-Associated Secretory Phenotype (SASP)
CXCL8,R-HSA-2559582,Senescence-Associated Secretory Phenotype (SASP)
IL6,R-HSA-2559582,Senescence-Associated Secretory Phenotype (SASP)
JUN,R-HSA-2559582,Senescence-Associated Secretory Phenotype (SASP)
CDKN1A,R-HSA-2559582,Senescence-Associated Secretory Phenotype (SASP)
CEBPB,R-HSA-2559582,Senescence-Associated Secretory Phenotype (SASP)
H2AX,R-HSA-2559582,Senescence-Associated Secretory Phenotype (SASP)
TP53,R-HSA-2559584,Formation of Senescence-Associated Heterochromatin Foci (SAHF)
TP53,R-HSA-2559585,Oncogene Induced Senescence
SP1,R-HSA-2559585,Oncogene Induced Senescence
TP53,R-HSA-2559586,DNA Damage/Telomere Stress Induced Senescence
H2AX,R-HSA-2559586,DNA Damage/Telomere Stress Induced Senescence
CDKN1A,R-HSA-2559586,DNA Damage/Telomere Stress Induced Senescence
MYC,R-HSA-2644606,Constitutive Signaling by NOTCH1 PEST Domain Mutants
CASP3,R-HSA-264870,Caspase-mediated cleavage of cytoskeletal proteins
SRC,R-HSA-2682334,EPH-Ephrin signaling
PIK3CA,R-HSA-2730905,Role of LAT2/NTAL/LAB on calcium mobilization
FOS,R-HSA-2871796,FCERI mediated MAPK activation
JUN,R-HSA-2871796,FCERI mediated MAPK activation
FGF2,R-HSA-2892247,"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation"
MYC,R-HSA-2894862,Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants
COL4A1,R-HSA-3000157,Laminin interactions
COL3A1,R-HSA-3000170,Syndecan interactions
COL1A1,R-HSA-3000170,Syndecan interactions
TGFB1,R-HSA-3000170,Syndecan interactions
FGF2,R-HSA-3000170,Syndecan interactions
COL3A1,R-HSA-3000171,Non-integrin membrane-ECM interactions
COL1A1,R-HSA-3000171,Non-integrin membrane-ECM interactions
COL4A1,R-HSA-3000171,Non-integrin membrane-ECM interactions
FGF2,R-HSA-3000171,Non-integrin membrane-ECM interactions
COL3A1,R-HSA-3000178,ECM proteoglycans
TGFB1,R-HSA-3000178,ECM proteoglycans
COL1A1,R-HSA-3000178,ECM proteoglycans
COL4A1,R-HSA-3000178,ECM proteoglycans
SERPINE1,R-HSA-3000178,ECM proteoglycans
DCN,R-HSA-3000178,ECM proteoglycans
COL1A1,R-HSA-3000480,Scavenging by Class A Receptors
COL4A1,R-HSA-3000480,Scavenging by Class A Receptors
COL3A1,R-HSA-3000480,Scavenging by Class A Receptors
H2AX,R-HSA-3214858,RMTs methylate histone arginines
CCND1,R-HSA-3214858,RMTs methylate histone arginines
TP53,R-HSA-3232118,SUMOylation of transcription factors
CAT,R-HSA-3299685,Detoxification of Reactive Oxygen Species
TGFB1,R-HSA-3304356,SMAD2/3 Phosphorylation Motif Mutants in Cancer
FAS,R-HSA-3371378,Regulation by c-FLIP
HSPA1A,R-HSA-3371453,Regulation of HSF1-mediated heat shock response
HSF1,R-HSA-3371453,Regulation of HSF1-mediated heat shock response
NR3C1,R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand
PGR,R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand
AR,R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand
HSPA1A,R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand
HSF1,R-HSA-3371511,HSF1 activation
HSPA1A,R-HSA-3371568,Attenuation phase
HSF1,R-HSA-3371568,Attenuation phase
HSPA1A,R-HSA-3371571,HSF1-dependent transactivation
HSF1,R-HSA-3371571,HSF1-dependent transactivation
TP53,R-HSA-349425,Autodegradation of the E3 ubiquitin ligase COP1
NQO1,R-HSA-350562,Regulation of ornithine decarboxylase (ODC)
CASP3,R-HSA-351906,Apoptotic cleavage of cell adhesion  proteins
SRC,R-HSA-354192,Integrin signaling
SRC,R-HSA-354194,GRB2:SOS provides linkage to MAPK signaling for Integrins 
DCN,R-HSA-3560783,"Defective B4GALT7 causes EDS, progeroid type"
DCN,R-HSA-3560801,Defective B3GAT3 causes JDSSDHD
DCN,R-HSA-3595172,Defective CHST3 causes SEDCJD
DCN,R-HSA-3595174,"Defective CHST14 causes EDS, musculocontractural type"
DCN,R-HSA-3595177,Defective CHSY1 causes TPBS
TGFB1,R-HSA-3642279,TGFBR2 MSI Frameshift Mutants in Cancer
TGFB1,R-HSA-3645790,TGFBR2 Kinase Domain Mutants in Cancer
TGFB1,R-HSA-3656532,TGFBR1 KD Mutants in Cancer
TGFB1,R-HSA-3656535,TGFBR1 LBD Mutants in Cancer
SRC,R-HSA-372708,p130Cas linkage to MAPK signaling for integrins
SHH,R-HSA-373080,Class B/2 (Secretin family receptors)
EZR,R-HSA-373752,Netrin-1 signaling
PIK3CA,R-HSA-373753,Nephrin family interactions
SRC,R-HSA-375165,NCAM signaling for neurite out-growth
CXCL8,R-HSA-375276,Peptide ligand-binding receptors
TRHR,R-HSA-375276,Peptide ligand-binding receptors
OPRM1,R-HSA-375276,Peptide ligand-binding receptors
